Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=pallidonia,The PS2 Puppet of Pallidonia,Anarchy,Frightening,Frightening,Corrupted
nation=chads_united,The Communist Utopia of Chads United,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=aryax,The People's Republic of Aryax,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=o_b_e_y,The Holy Black Dictatorship of O B E Y,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=davadatopia,The People's Republic of Davadatopia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=empyrius,The Throne of the Golden Dynasty of Empyrius,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=ervarean_republic,The Failed States of Ervarëa not of ErVaReAn rEpUbLiC,Anarchy,Frightening,Frightening,Corrupted
nation=rockcliffe_park,The Queen's State of Rockcliffe Park,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=desert_camel,The Republic of Desert Camel,Left-wing Utopia,Frightening,Imploded,Corrupted
nation=holy_imperia,The Protectorate of Holy Imperia,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=hayes_culver,The Queen's State of Hayes Culver,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=alkeefer,The Queen's State of Alkeefer,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=musketiquid,The State of Musketiquid,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=febuary,The Queen's State of Febuary,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=marts,The Queen's State of Marts,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=sondag,The Queen's State of Sondag,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=tennera,The Queen's State of Tennera,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=mfumu,The Queen's State of Mfumu,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
