Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=the_stalker,The Mad King of Hell of The Stalker,Father Knows Best State,Below Average,Frightening,Few
nation=lamebrainia,The Idiocracy of Lamebrainia,Capitalist Paradise,Some,Frightening,Good
nation=athas,The Burnt World of Athas,Father Knows Best State,Some,Frightening,Rare
nation=edgemaster,The Infection of Edgemaster,Compulsory Consumerist State,Very Good,Frightening,Few
nation=little_flowers,The Empire of Little Flowers,Capitalizt,Excellent,Frightening,Below Average
nation=northern_borland,The Allied Corporate Empire of Northern Borland,Capitalizt,Superb,Frightening,Good
nation=cashdeer,The Libertarian Paradise of Cashdeer,Anarchy,Frightening,Frightening,World Benchmark
nation=rindiania,The Rogue Nation of Rindiania,Corporate Police State,Rare,Frightening,Unheard Of
nation=nakina_koreazu,The Mad Empire of Nakina Koreazu,Iron Fist Consumerists,Rare,Frightening,Rare
nation=fudgedup,The Hellhole of Fudgedup,Corporate Police State,Some,Frightening,Few
nation=winx_club,The Magic of Winx club,Father Knows Best State,Average,Frightening,Rare
nation=feoras,The Ancient and Ethereal Lady of Feoras,Anarchy,Frightening,Frightening,Widely Abused
nation=eretzisrael,The Walled Cities of EretzIsrael,Capitalist Paradise,Excellent,Frightening,Very Good
nation=brotherhood_of_nod,The Dictatorship of Brotherhood of nod,Corporate Police State,Few,Frightening,Unheard Of
nation=papadracky,The Galactic Trade Conglomerate of PapaDracky,Anarchy,World Benchmark,Frightening,Excellent
nation=pterodoria,The PS2 Puppet of Pterodoria,Capitalist Paradise,Very Good,Frightening,Some
nation=the_captain,The Dominion of The Captain,Corporate Police State,Some,Frightening,Rare
nation=the_centauri,The Burlesque Republic of The Centauri,Compulsory Consumerist State,Very Good,Frightening,Few
nation=pallidonia,The PS2 Puppet of Pallidonia,Anarchy,Frightening,Frightening,Corrupted
nation=tremalkier,The Insatiable Economic Hitmen of Tremalkier,Capitalizt,Excellent,Frightening,Average
nation=the_grendels,The Indomitable Borderlands of The Grendels,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=the_iron_league,The Supreme Dictatorship of The Iron League,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=nak_nak,The Allmighty Power of Nak nak,Compulsory Consumerist State,Below Average,Frightening,Unheard Of
nation=tweekville,The Colony of Tweekville,Iron Fist Consumerists,Few,Frightening,Unheard Of
nation=chavante,The Republic of Chavante,Anarchy,Superb,Frightening,Excessive
nation=chris_hall,The Free Land of Chris Hall,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=trixmonia,The Ironwill Dictatorship of Trixmonia,Father Knows Best State,Some,Frightening,Unheard Of
nation=daedra1a,The Modern Portfolio Theory of Daedra1a,Capitalist Paradise,Very Good,Frightening,Excellent
nation=psypheria,The Liberated Cartel of Psypheria,Capitalizt,Excellent,Frightening,Good
nation=cutote,The People's Republic of Cutote,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=sheeptopia,The Grand Overkingdom of Sheeptopia,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=matofali,The Megalopolis Corporatocracy of Matofali,Compulsory Consumerist State,Good,Frightening,Few
nation=darkmen,The Kingdom of Darkmen,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=vosiycrs,The Dominion of Vosiycrs,Anarchy,Excessive,Frightening,Widely Abused
nation=anemone_reef,The Corporatocracy of Anemone Reef,Anarchy,Superb,Frightening,Superb
nation=child_care_workers,The Nasty Side of Child Care Workers,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=the_blessed_and_holy_land,The Holy Matriarchy of The Blessed and Holy Land,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=le_duche,The Grand Duchy Duchy Dutch of Le Duche,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=krematoria,The All-Powerful Rogue Nation of Krematoria,Father Knows Best State,Below Average,Frightening,Rare
nation=santa_is_satan,The Evil Empire of Santa Is Satan,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=koffee,The Richly Blended Peoples of Koffee,Capitalist Paradise,Average,Frightening,Average
nation=totoso_mussolini,The CIDAO of Totoso_Mussolini,Capitalist Paradise,Average,Frightening,Very Good
nation=lord_dominator,The Burning Trash Fire of Lord Dominator,Corporate Police State,Few,Frightening,Unheard Of
nation=wulfhelm,The Soul-Crushing Factories of Wulfhelm,Corporate Police State,Few,Frightening,Unheard Of
nation=tweeklandia,The Rogue Nation of Tweeklandia,Corporate Police State,Rare,Frightening,Unheard Of
nation=heierlark,The Borderlands of Heierlark,Compulsory Consumerist State,Some,Frightening,Rare
nation=hesperonis,The Ur-Quan Masters of Hesperonis,Compulsory Consumerist State,Very Good,Frightening,Few
nation=wolfenlandom,The Honorable Reclusive Kingdom of Wolfenlandom,Father Knows Best State,Average,Frightening,Rare
nation=the_knight_who_says_ni,The Allmighty Nak Nakian Colony of The knight who says NI,Compulsory Consumerist State,Good,Frightening,Rare
nation=anathema_armaments,The Creaking Casino Floors of Anathema Armaments,Corporate Bordello,Very Good,Frightening,Excellent
nation=techno,The Allmighty Nak Nakian Colony of Techno,Corporate Police State,Rare,Frightening,Unheard Of
nation=dyzistrolux,The Corporate Imperium of Dyzistrolux,Anarchy,Superb,Frightening,Excellent
nation=aquilonia-caithness,The Republic of Aquilonia-Caithness,Father Knows Best State,Some,Thriving,Few
nation=minnesotanwasteland,The Dystopian Future of MinnesotanWasteland,Libertarian Police State,Excessive,Frightening,Few
nation=tevehas,The Revanchist Ochlocracy of Tevehas,Capitalist Paradise,Very Good,Frightening,Good
nation=unthank,The Murabian Protectorate of Unthank,Capitalist Paradise,Average,Frightening,Below Average
nation=zombie_penguins,The Impending Doom of Zombie Penguins,Capitalizt,Frightening,Frightening,Very Good
nation=ewing_oil_co,The Barnes-Free Conglomerate of Ewing Oil Co,Corporate Police State,Few,Frightening,Few
nation=hamronica,The Empire of Hamronica,Benevolent Dictatorship,Frightening,Frightening,Outlawed
nation=brenner_islandia,The United States of Brenner Islandia,Capitalizt,Superb,Frightening,Excellent
nation=anaxonia,The Greedland of Anaxonia,Compulsory Consumerist State,Very Good,Frightening,Unheard Of
nation=ordenza,The Most Catholic City of Ordenza,Capitalist Paradise,Some,Frightening,Few
nation=monianoli,The Commonwealth of Monianoli,Capitalist Paradise,Average,Frightening,Average
nation=nothreen,The Borderlands of Nothreen,Anarchy,Frightening,Frightening,Corrupted
nation=uelvan,The Migratory Fleets of Uelvan,Inoffensive Centrist Democracy,Good,Frightening,Some
nation=euraustralasamerica,The Post-Communist Kleptocracy of Euraustralasamerica,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=zombie_minion,The Nomadic Peoples of Zombie Minion,Corrupt Dictatorship,Some,Frightening,Few
nation=ice_800,The Infinite Supply of Ice 800,Libertarian Police State,Excellent,Frightening,Few
nation=the_commonwealth_of_aus,The Rogue Nation of The Commonwealth of Aus,Inoffensive Centrist Democracy,Good,Frightening,Below Average
nation=the_zocalo,The Sexy Spacefaring Shogunate of The Zocalo,Capitalist Paradise,Good,Frightening,Average
nation=myrth,The NPO High Inquisitor of Myrth,Compulsory Consumerist State,Very Good,Frightening,Few
nation=undivulged_principles,The Confederacy of Undivulged Principles,Left-wing Utopia,Superb,Frightening,Excessive
nation=sovereign_california,The Confederated Empire of Sovereign California,Anarchy,Frightening,Frightening,Excessive
nation=halbhalbha,The Confederacy of Halbhalbha,Anarchy,Excellent,Frightening,Superb
nation=newne_carriebean7,The Revolutionary Military Junta of Newne Carriebean7,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=achaian_peloponnese,The Isaurian League of Achaian Peloponnese,Compulsory Consumerist State,Very Good,Frightening,Rare
nation=de_hork,The Lil'Lebowski Urban Achievers of De HoRK,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=owoistan,The Former UwU's republic of OwOistan,Compulsory Consumerist State,Very Good,Frightening,Few
nation=s_diego,The Capitalistic Republic of S_diego,Left-Leaning College State,Superb,Frightening,Excellent
nation=cocaine,The Private Stash of Cocaine,Capitalist Paradise,Very Good,Frightening,Excellent
nation=terdiatlans,The Supreme High Imperium of Terdiatlans,Anarchy,Excellent,Frightening,Superb
nation=mackintosh,The Grotesque Playground of Mackintosh,Compulsory Consumerist State,Below Average,Frightening,Unheard Of
nation=haven_of_wealth,The Corporate Conglomerate of Haven of wealth,Capitalizt,Superb,Frightening,Good
nation=qpwo,The Christmas Golden Republic of Qpwo,Capitalist Paradise,Below Average,Frightening,Some
nation=zurkerx,The Constitutional Empire of Zurkerx,Anarchy,Excessive,Frightening,Excellent
nation=zaktoutr,The Reformed Demonic Assembly of Zaktoutr,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=western_santos,The Republic of Western Santos,Anarchy,Excessive,Frightening,Excessive
nation=the_rouge_christmas_state,The Dixieland Empire of The Rouge Christmas State,Corporate Bordello,Excellent,Frightening,Superb
nation=ervarean_republic,The Failed States of Ervarëa not of ErVaReAn rEpUbLiC,Anarchy,Frightening,Frightening,Corrupted
nation=miratejo,The Republic of Miratejo,Compulsory Consumerist State,Very Good,Frightening,Rare
nation=elwher,The Confederacy of Elwher,Capitalizt,Superb,Frightening,Very Good
nation=the_colonial_fleet,The Dysfunctional Viper Pilots of The Colonial Fleet,Capitalist Paradise,Very Good,Frightening,Some
nation=argyres,The Holy Meritocratic Republic of Argyres,Anarchy,World Benchmark,Frightening,Superb
nation=the_emotionally_distressed_panda,The Irish Banter of The Emotionally Distressed Panda,Father Knows Best State,Some,Frightening,Few
nation=potpans,The Rogue Nation of Potpans,Inoffensive Centrist Democracy,Very Good,Frightening,Excellent
nation=caladraxia,The Theocracy of Caladraxia,Iron Fist Consumerists,Unheard Of,Frightening,Outlawed
nation=olde_english_high_gravity_800,The Bottles Full of Olde English High Gravity 800,Anarchy,Excellent,Frightening,Excellent
nation=the_utes,The Nomadic Peoples of The Utes,Anarchy,Frightening,Frightening,World Benchmark
nation=omigodtheykilledkenny,The Mysterion Rising of Omigodtheykilledkenny,Capitalizt,Superb,Frightening,Excellent
nation=inquista,The Most Blessed State of Inquista,Anarchy,World Benchmark,Frightening,World Benchmark
nation=daughteria,The Impulsive Republic of Daughteria,Iron Fist Consumerists,Some,Frightening,Rare
nation=tseaby,The Confederacy of Tseaby,Father Knows Best State,Excellent,Very Strong,Unheard Of
nation=a_horde_of_demons,The Infernal Host of A Horde of Demons,Compulsory Consumerist State,Good,Frightening,Rare
nation=romarlania,The Colony of Romarlania,Compulsory Consumerist State,Average,Frightening,Outlawed
nation=complete_bastards,The Dominion of Complete Bastards,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=doperland,The Holy Dictatorship of Doperland,Iron Fist Consumerists,Some,Frightening,Rare
nation=prolonged_suffering,The Supreme new age nation of Prolonged Suffering,Iron Fist Consumerists,Few,Frightening,Rare
nation=anticountriopia,The Liberty Paradise of Anticountriopia,Corporate Police State,Unheard Of,Frightening,Rare
nation=amytha_red,The Free Trade Consortium of Amytha red,Capitalist Paradise,Average,Frightening,Excellent
nation=kohrar,The Seafood Paradise of KohrAr,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=purdunamis,The Eigenstate of PurDunamis,Benevolent Dictatorship,Superb,Frightening,Few
nation=ness_snorlaxia,The Hyrule Founder Nation of Ness Snorlaxia,Civil Rights Lovefest,World Benchmark,Very Strong,World Benchmark
nation=alien_magic,The Rogue Nation of Alien Magic,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=restorza,The Holy Corporate Lottocracy of Restorza,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=olde_english_800,The Bottles Full of Olde English 800,Capitalist Paradise,Very Good,Frightening,Good
nation=postapocalyptic_terror,The Corporate Dictatorship of Postapocalyptic Terror,Corporate Police State,Some,Frightening,Outlawed
nation=ironfistan,The Oppressed Peoples of Ironfistan,Compulsory Consumerist State,Average,Frightening,Rare
nation=brandon,The Republic of Brandon,Father Knows Best State,Below Average,Frightening,Rare
nation=ultimaweapon,The Holy Empire of UltimaWeapon,Mother Knows Best State,Below Average,Frightening,Rare
nation=hollip,The Parent Company of Hollip,Capitalizt,Excellent,Frightening,Excellent
nation=look_at_me,The Zombie Nukers of Look at me,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=andaricus,The Constitutional Republic of Andaricus,Anarchy,Frightening,Frightening,Excessive
nation=smitopbot91,The Republic of SmitopBot91,Inoffensive Centrist Democracy,Below Average,Frightening,Good
nation=newtexas,The Big Tex Happy Taco Stands of NewTexas,Civil Rights Lovefest,World Benchmark,Frightening,Excessive
nation=maysai,The New United Empire of Maysai,Father Knows Best State,Some,Frightening,Rare
nation=vargr_corsairs,The Confederacy of Vargr Corsairs,New York Times Democracy,Excellent,Frightening,Superb
nation=hisparta,The Land of Hisparta,Anarchy,Superb,Frightening,World Benchmark
nation=oxirix,The Free Republic of Oxirix,New York Times Democracy,Very Good,Frightening,Excellent
nation=economic_invincibility,The ELF-Eladen Exchange Entrepôt of Economic Invincibility,Capitalist Paradise,Excellent,Frightening,Average
nation=anar_land,The Democratic Republic of Anar land,Civil Rights Lovefest,Superb,Frightening,Superb
nation=chicon,The Renmin Minzhu Zhuanzheng of ChiCon,Benevolent Dictatorship,Superb,Frightening,Few
nation=pepsi_co,The Incorporated States of Pepsi Co,Compulsory Consumerist State,Good,Frightening,Rare
nation=genlann,The Commonwealth of Genlann,New York Times Democracy,Good,Frightening,Superb
nation=shmoolandia_free_city,The Chaotic Sprawl of Shmoolandia Free City,Anarchy,Superb,Frightening,Widely Abused
nation=corporoat,The United Conglomerates of Corporoat,Anarchy,Excessive,Frightening,Widely Abused
nation=aurora_islands,The Armed Corporations of Aurora Islands,Capitalist Paradise,Very Good,Frightening,Very Good
nation=win_mints,The Combined Corporations of Win Mints,Anarchy,Frightening,Frightening,Widely Abused
nation=luna_free_state,The Republic of Luna Free State,Capitalizt,Excellent,Frightening,Very Good
nation=the_dark_system,The Mafian Economic Extremist of The Dark System,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=fa_niente,The Donald Trump USA Dystopia of Fa Niente,Compulsory Consumerist State,Some,Frightening,Rare
nation=lucy_cavendish,The Heavenly Light of Salvation of Lucy Cavendish,Anarchy,Frightening,Frightening,Excessive
nation=geckocidron,The Necropolis Tyranny of Geckocidron,Iron Fist Consumerists,Few,Frightening,Unheard Of
nation=hyakkaou,The Private Academy of Hyakkaou,Compulsory Consumerist State,Excellent,Frightening,Few
nation=latamer,The Latamer of Latamer,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=errand_of_klingon_mercy,The First Klingons of Errand of Klingon Mercy,Father Knows Best State,Average,Frightening,Few
nation=valrknut,The Clad in Gold Republic of Valrknut,Capitalist Paradise,Very Good,Frightening,Very Good
nation=affluens,The Free Land of Affluens,Corporate Bordello,Excellent,Frightening,Superb
nation=aschenburg,The Imperial Free City of Aschenburg,Capitalizt,Superb,Frightening,Average
nation=australian_republic,The Federation of Australian rePublic,Capitalist Paradise,Below Average,Frightening,Good
nation=los_santos,The Very Large Safari Park of Los Santos,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=midlands,The United States of Midlands,Anarchy,Superb,Frightening,Widely Abused
nation=pirates_of_the_vinland_states,The Armed Republic of Pirates Of the Vinland states,Libertarian Police State,Excellent,Frightening,Rare
nation=silt,The Sea of Silt,Inoffensive Centrist Democracy,Some,Frightening,Good
nation=voortrek,The Armed Republic of Voortrek,Corporate Police State,Few,Frightening,Outlawed
nation=houde,The Kingdom of Houde,Father Knows Best State,Some,Frightening,Rare
nation=vintage_teenagers,The City-State of Vintage Teenagers,Benevolent Dictatorship,Superb,Frightening,Rare
nation=keyser_soze,The Huddled Terrified Masses of Keyser Soze,Capitalizt,Excellent,Frightening,Average
nation=caltof,The Holy Corporate Green Dynasty of Caltof,Libertarian Police State,Superb,Frightening,Few
nation=west_hempstead,The Free Market Republic of West Hempstead,Capitalist Paradise,Very Good,Frightening,Average
nation=grave_raven,The Oppressed Peoples of Grave Raven,Capitalist Paradise,Average,Frightening,Below Average
nation=sulsuland,The Canon Destroyers of Sulsuland,Left-Leaning College State,World Benchmark,Thriving,Good
nation=the_scandinvans,The Glorious Empire of The Scandinvans,Capitalizt,Excellent,Frightening,Average
nation=go_canucks_go,The Wet Coast Hockey Republic of Go Canucks Go,Capitalist Paradise,Good,Frightening,Very Good
nation=marsolpavia,The Kingdom of Marsolpavia,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=kractero,The Empire of Kractero,Capitalist Paradise,Very Good,Frightening,Average
