Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=east_borland,The Exalted Supremacy of East Borland,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=cutote,The People's Republic of Cutote,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=northern_borland,The Allied Corporate Empire of Northern Borland,Capitalizt,Superb,Frightening,Good
nation=little_flowers,The Empire of Little Flowers,Capitalizt,Excellent,Frightening,Below Average
nation=nak_nak,The Allmighty Power of Nak nak,Compulsory Consumerist State,Below Average,Frightening,Unheard Of
nation=eretzisrael,The Walled Cities of EretzIsrael,Capitalist Paradise,Excellent,Frightening,Very Good
nation=cashdeer,The Libertarian Paradise of Cashdeer,Anarchy,Excessive,Frightening,World Benchmark
nation=the_iron_league,The Supreme Dictatorship of The Iron League,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=lamebrainia,The Idiocracy of Lamebrainia,Capitalist Paradise,Some,Frightening,Good
nation=edgemaster,The Infection of Edgemaster,Compulsory Consumerist State,Very Good,Frightening,Few
nation=complete_bastards,The Dominion of Complete Bastards,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=nadir_dystopia,The Holy Yellow CAM of Nadir Dystopia,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=dragyn,The Iron Mall of Dragyn,Capitalizt,Superb,Frightening,Good
nation=midlands,The United States of Midlands,Anarchy,Superb,Frightening,Widely Abused
nation=king_carl,The Mysterious Airship of King Carl,Iron Fist Consumerists,Rare,Frightening,Rare
nation=chris_hall,The Free Land of Chris Hall,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=muspellheim,The Brennanndi Ríki of Muspellheim,Corporate Police State,Rare,Frightening,Rare
nation=the_grendels,The Indomitable Borderlands of The Grendels,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=the_centauri,The Burlesque Republic of The Centauri,Compulsory Consumerist State,Very Good,Frightening,Few
nation=the_strategic_air_command,The United Stratocratic States of The Strategic Air Command,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=ewing_oil_co,The Barnes-Free Conglomerate of Ewing Oil Co,Corporate Police State,Few,Frightening,Few
nation=daedra1a,The Modern Portfolio Theory of Daedra1a,Capitalist Paradise,Very Good,Frightening,Excellent
nation=overdosed_crackheads,The Dictatorship of Overdosed crackheads,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=techno,The Allmighty Nak Nakian Colony of Techno,Corporate Police State,Rare,Frightening,Unheard Of
nation=the_goggles,The Confederacy of The Goggles,Iron Fist Consumerists,Few,Frightening,Outlawed
