Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=the_archregimancy,The Holy Monastic Republic of The Archregimancy,Democratic Socialists,Some,Imploded,Very Good
nation=quasi-millitary,The Socialist Democracy of Quasi-Millitary,Democratic Socialists,Some,Strong,Very Good
nation=hobbledehoy_ita,The Infernal Machinations of Hobbledehoy ITA,Liberal Democratic Socialists,Excellent,Imploded,Superb
nation=sirian_knights,The Dominion of Sirian Knights,Psychotic Dictatorship,Few,Imploded,Outlawed
nation=de_32ste_volksdivisie,The Herrebrugher Workers' Army of De 32ste Volksdivisie,Liberal Democratic Socialists,Excellent,Imploded,World Benchmark
nation=huitzilopochlti,The Theocracy of Huitzilopochlti,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=yeldan_nature_preserve,The Pristine Wilderness of Yeldan Nature Preserve,Democratic Socialists,Average,Imploded,Good
nation=compassionate_pilgrims,The Lufolet Founder of Compassionate Pilgrims,Psychotic Dictatorship,Rare,Fair,Rare
nation=saola,The Queen's State of Saola,Corrupt Dictatorship,Some,Basket Case,Outlawed
nation=keirah_amber,The Darn of Keirah Amber,Corrupt Dictatorship,Good,Imploded,Outlawed
nation=aarley,The Queen's State of Aarley,Iron Fist Socialists,Superb,Basket Case,Rare
nation=october_surprise,The BS Detector of October Surprise,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=desert_camel,The Republic of Desert Camel,Left-wing Utopia,Frightening,Imploded,Corrupted
nation=ms_bobby_mcgee,The Wondrous Voice of Ms Bobby McGee,Scandinavian Liberal Paradise,Superb,Weak,Very Good
nation=the_anti_klaus,The Goddamn son whats up of The Anti Klaus,Democratic Socialists,Below Average,Imploded,Very Good
nation=hadrosaurus,The Disputed Territories of Hadrosaurus,Democratic Socialists,Average,Basket Case,Few
nation=clamlet,The Haunted Kingdom of Clamlet,Psychotic Dictatorship,Few,Imploded,Outlawed
nation=mrs_round,The Nova Queensland of Mrs Round,Corrupt Dictatorship,Excellent,Developing,Outlawed
nation=george_wickham,The Self-Indulgent Narcissism of George Wickham,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=esclavos_corporativos,The State of Esclavos Corporativos,Psychotic Dictatorship,Unheard Of,Fragile,Outlawed
nation=cromedome,The Arms Dealer of Cromedome,Democratic Socialists,Some,Imploded,Excellent
nation=the_great_librarian,The Literary World of The Great Librarian,Democratic Socialists,Very Good,Imploded,Very Good
nation=marian_paroo,The World of Books and Film of Marian Paroo,Left-wing Utopia,Frightening,Imploded,Corrupted
nation=fear_itself,The Only Thing There Is to Fear of Fear Itself,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=hunter_d,The Holy Dampyr Vampire Hunters of Hunter D,Psychotic Dictatorship,Unheard Of,Struggling,Outlawed
nation=umberhulk,The Commonwealth of Umberhulk,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=vidal_baie,The Queen's State of Vidal Baie,Psychotic Dictatorship,Some,Imploded,Outlawed
Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=cromedome,The Arms Dealer of Cromedome,Democratic Socialists,Some,Imploded,Excellent
nation=the_great_librarian,The Literary World of The Great Librarian,Democratic Socialists,Very Good,Imploded,Very Good
nation=marian_paroo,The World of Books and Film of Marian Paroo,Left-wing Utopia,Frightening,Imploded,Corrupted
nation=fear_itself,The Only Thing There Is to Fear of Fear Itself,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=hunter_d,The Holy Dampyr Vampire Hunters of Hunter D,Psychotic Dictatorship,Unheard Of,Struggling,Outlawed
nation=umberhulk,The Commonwealth of Umberhulk,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=vidal_baie,The Queen's State of Vidal Baie,Psychotic Dictatorship,Some,Imploded,Outlawed
nation=snipe_hunters,The Colony of Snipe Hunters,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=blackmask,The Federation of BLACKMASK,Democratic Socialists,Good,Imploded,Average
nation=hyosung,The Republic of Hyosung,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=timkins,The Colony of Timkins,Iron Fist Socialists,Excellent,Imploded,Rare
nation=wobblie_shanks_pony,The Knobblie Kneed of Wobblie Shanks Pony,Scandinavian Liberal Paradise,Superb,Imploded,Some
nation=shadow_and_rage,The Weirding ways of Shadow and Rage,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=geiranger_fjord,The Frøzen Fjørd of Geiranger Fjord,Left-wing Utopia,Superb,Imploded,Excessive
nation=puppet7,The Republic of Puppet7,Authoritarian Democracy,Few,Imploded,Very Good
nation=silent_talk,The Unheard Whispers of Silent Talk,Democratic Socialists,Excellent,Struggling,Very Good
nation=wobblie,The Hysterical Imperative of Wobblie,Left-wing Utopia,Superb,Imploded,Superb
nation=vosknoya,The People's Republic of Vosknoya,Democratic Socialists,Below Average,Basket Case,Very Good
nation=rhode_inland,The Rogue Island of Rhode Inland,Psychotic Dictatorship,Few,Imploded,Outlawed
nation=jacque_fresco,The Sustainable Cities of Jacque Fresco,Scandinavian Liberal Paradise,Superb,Developing,Average
nation=emilia_romagna,The Federation of Emilia Romagna,Scandinavian Liberal Paradise,Superb,Basket Case,Average
nation=green-arrow,The Progressive Justice of Green-Arrow,Scandinavian Liberal Paradise,World Benchmark,Imploded,Good
nation=kloros_reap,The Queen's State of Kloros Reap,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=eindhoven,The Federation of Eindhoven,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=invader_spock,The Aristotelian Logic of Invader Spock,Liberal Democratic Socialists,Excellent,Imploded,Superb
nation=the_united_states_of_america,The Free Land of The United States of America,Democratic Socialists,Excellent,Fair,Excellent
nation=robot_love,The Free Republic of Robot Love,Democratic Socialists,Below Average,Imploded,Good
nation=strawberry_fields-,The John Lennon Utopia of Strawberry Fields-,Scandinavian Liberal Paradise,Superb,Imploded,Average
nation=souseiseki,The Dominion of Souseiseki,Psychotic Dictatorship,Rare,Imploded,Outlawed
nation=happy_folkz,The Mad Tea Party of Happy Folkz,Scandinavian Liberal Paradise,Excellent,Imploded,Average
nation=-river_tam-,The Mind Fields of -River Tam-,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=episilon_eurandi,The Federal Republic of Episilon Eurandi,Psychotic Dictatorship,Unheard Of,Basket Case,Outlawed
nation=nyab,The Queen's State of Nyab,Psychotic Dictatorship,Rare,Struggling,Outlawed
nation=imperial_nazi_germany,The Fourth Reich of Imperial Nazi Germany,Psychotic Dictatorship,Outlawed,Basket Case,Outlawed
nation=vandalia,The Dictatorship of Vandalia,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=copernicium,The Energy States of Copernicium,Democratic Socialists,Good,Struggling,Good
nation=cry,The End of Cry,Corrupt Dictatorship,Some,Imploded,Rare
nation=avaseau,The Queen's State of Avaseau,Psychotic Dictatorship,Rare,Imploded,Rare
nation=nerdocrombesia,The Rejected Realms Travel Agent of Nerdocrombesia,Iron Fist Socialists,Superb,Frightening,Unheard Of
nation=tarentorous,The Queen's State of Tarentorous,Liberal Democratic Socialists,Excellent,Developing,Corrupted
nation=sou_salva,The Queen's State of Sou Salva,Psychotic Dictatorship,Rare,Imploded,Outlawed
nation=general_red_back,The TBH Commander of General Red Back,Democratic Socialists,Good,Fragile,Very Good
nation=nelvarg,The Kingly Kingdom of Nelvarg,Democratic Socialists,Some,Fragile,Average
nation=black_mexicans,The Superior Heritage of Black Mexicans,Scandinavian Liberal Paradise,Superb,Imploded,Good
nation=portlandoregon,The Free Land of PortlandOregon,Scandinavian Liberal Paradise,Excellent,Imploded,Very Good
nation=kothic_hawk,The Lean Mean Raiding Machine of Kothic Hawk,Corrupt Dictatorship,Some,Imploded,Outlawed
nation=petre,The State of Petre,Corrupt Dictatorship,Below Average,Weak,Outlawed
nation=ngc_253,The Federation of NGC 253,Corrupt Dictatorship,Some,Basket Case,Few
nation=united_starship_enterprise,The 5-Year Mission of United StarShip Enterprise,Left-wing Utopia,Superb,Imploded,Superb
nation=artell,The Queen's State of Artell,Scandinavian Liberal Paradise,Superb,Imploded,Very Good
nation=yaman_shaabi,The Queen's State of Yaman Shaabi,Psychotic Dictatorship,Some,Imploded,Outlawed
nation=custodian_8,The MT Army Caretaker of Custodian 8,Left-wing Utopia,Superb,Imploded,Superb
nation=rodeo_girl,The Queen's State of Rodeo Girl,Tyranny by Majority,Unheard Of,Imploded,World Benchmark
nation=sensible_isolationists,The Evermas Founder of Sensible Isolationists,Psychotic Dictatorship,Rare,Struggling,Outlawed
nation=wytyg,The Nomadic Peoples of WYTYG,Liberal Democratic Socialists,Good,Imploded,Superb
nation=princeton,The University of Princeton,Democratic Socialists,Some,Imploded,Excellent
nation=deadpool_tim,The Republic of Deadpool Tim,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=the_golden_tamarind,The Syndicates of The Golden Tamarind,Democratic Socialists,Good,Struggling,Below Average
nation=tugy,The Democratic Republic of Tugy,Democratic Socialists,Excellent,Imploded,Average
nation=sedgie-poo,The Colony of Sedgie-poo,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=blue_thorn,The Queen's State of Blue Thorn,Psychotic Dictatorship,Unheard Of,Imploded,Outlawed
nation=wishkah_bridge,The Queen's State of Wishkah Bridge,Psychotic Dictatorship,Unheard Of,Imploded,Outlawed
nation=buffalo,The Protectorate of Buffalo,Corrupt Dictatorship,Good,Imploded,Rare
nation=flat_earth,The Finite Campsite of Flat Earth,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=crawling_zombie,The Ravenous Undead Rage of Crawling Zombie,Democratic Socialists,Some,Imploded,Very Good
nation=molotov_love_bombs,The Lipstick Traces of Molotov Love Bombs,Scandinavian Liberal Paradise,Superb,Basket Case,Good
nation=alonga,The Queen's State of Alonga,Left-wing Utopia,Superb,Basket Case,Superb
nation=james_snow,The Queen's State of James Snow,Psychotic Dictatorship,Rare,Imploded,Outlawed
nation=badford,The Queen's State of Badford,Scandinavian Liberal Paradise,Excellent,Fragile,Very Good
nation=poplar_grove,The Queen's State of Poplar Grove,Psychotic Dictatorship,Unheard Of,Imploded,Rare
nation=kellestine,The Queen's State of Kellestine,Left-wing Utopia,Superb,Imploded,World Benchmark
nation=la_bande_a_bonnot,The Armed Republic of La Bande a Bonnot,Scandinavian Liberal Paradise,Excellent,Imploded,Very Good
nation=hagarsvilla,The State of Hagarsvilla,Scandinavian Liberal Paradise,Superb,Fragile,Excellent
nation=norse_god,The Kingdom of Norse God,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=nauros,The Kittens of Nauros,Democratic Socialists,Some,Imploded,Very Good
nation=nader_raider,The Idealistic Spoiler of Nader Raider,Democratic Socialists,Very Good,Imploded,Good
nation=panda-z,The Empire of Panda-Z,Authoritarian Democracy,Few,Imploded,Good
nation=hide_away,The Island Utopia of Hide Away,Left-wing Utopia,Superb,Imploded,World Benchmark
nation=the_irregular_shirt,The Rogue Nation of The Irregular Shirt,Psychotic Dictatorship,Outlawed,Imploded,Outlawed
nation=devil_doll,The Forbidden Love of Devil Doll,Corrupt Dictatorship,Average,Imploded,Rare
