Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=despoticania,The Despotic Dictatorship of Despoticania,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=undivulged_principles,The Confederacy of Undivulged Principles,Left-wing Utopia,Superb,Frightening,Excessive
nation=tzuland,The Military Dictatorship of Tzuland,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=atlantiariv,The Starskiesiver Civilization of ATLANTIARIV,Corrupt Dictatorship,Below Average,Frightening,Few
nation=rototornik,The Empire of Rototornik,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=kyldellian_zereack,The Warzone States of Kyldellian Zereack,Democratic Socialists,Excellent,Frightening,Excellent
nation=supreme_lord_kane,The KINGDOM of Supreme Lord KANE,Corrupt Dictatorship,Average,Frightening,Rare
nation=kyldellian_gilge,The Warzone States of Kyldellian Gilge,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=varayusha,The People's Republic of Varayusha,Democratic Socialists,Some,Frightening,Average
nation=koem_kab,The Empire of Koem Kab,Psychotic Dictatorship,Few,Frightening,Unheard Of
nation=kyldellian_mencorp,The Warzone States of Kyldellian Mencorp,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=particle,The Interdimensional Domain of Particle,Father Knows Best State,Good,Frightening,Rare
nation=hc_eredivisie,The Thirteen Zombie Hells of HC Eredivisie,Iron Fist Consumerists,Few,Frightening,Few
nation=cruciland,The Fascist Legion of Cruciland,Psychotic Dictatorship,Rare,Frightening,Outlawed
nation=basementees,The Burman Kakistocracy of Basementees,Democratic Socialists,Very Good,Frightening,Average
nation=reqovia,The Empire of Reqovia,Psychotic Dictatorship,Rare,Frightening,Rare
nation=teutionia,The Sovereign Covenant of Teutionia,Inoffensive Centrist Democracy,Very Good,Frightening,Few
nation=universal_state_formula,The Republic of Universal State Formula,Father Knows Best State,Below Average,Frightening,Outlawed
nation=treznor,The Empire of Treznor,Democratic Socialists,Good,Frightening,Very Good
nation=vipermartian,The KINGDOM of VIPERMARTIAN,Democratic Socialists,Average,Frightening,Few
nation=gooutofhere,The Culture of Gooutofhere,Mother Knows Best State,Very Good,Frightening,Few
nation=arutiise,The Nuhaatyc Republic of Arutiise,Corrupt Dictatorship,Some,Frightening,Unheard Of
nation=stonestein,The Reignreich of Stonestein,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=celtician,The Armed Republic of Celtician,Psychotic Dictatorship,Rare,Frightening,Outlawed
nation=papabellum,The Matriarchy of PapaBellum,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=slaytania,The Union of Soviet States of Slaytania,Psychotic Dictatorship,Few,Frightening,Rare
nation=flandarz,The True Divine Empire of Flandarz,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=veradax,The Technocratic Empire of Veradax,Corrupt Dictatorship,Some,Frightening,Rare
nation=jar_wattinree,The Star Fox of Jar Wattinree,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=dragonic_overlords,The Rogue Nation of Dragonic Overlords,Psychotic Dictatorship,Few,Frightening,Unheard Of
nation=abu_ammar,The Holiest Flavor of ABU AMMAR,Father Knows Best State,Some,Frightening,Unheard Of
nation=arkzpan,The Imperial Territories of Arkzpan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=legion_of_peace,The Wa'Ebe'Akth Doot-Hokdywa of Legion Of Peace,Corrupt Dictatorship,Good,Frightening,Unheard Of
nation=rommanda,The Holy Empire of Rommanda,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=free_socialism,The Culture of Free Socialism,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=greater_somalia,The United States of Greater Somalia,Liberal Democratic Socialists,Very Good,Frightening,Widely Abused
nation=titananium,The Merchant Confederacy of Titananium,Iron Fist Consumerists,Rare,Frightening,Unheard Of
nation=gaberel,The Empire of Gaberel,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=martis_urbe,The Divinus Imperium of Martis Urbe,Democratic Socialists,Good,Frightening,Very Good
nation=synarchist_neminoetr,The Free Empire of Synarchist Neminoetr,Corrupt Dictatorship,Some,Frightening,Outlawed
nation=heyzay,The Federal Unitary Stratocracy of HeyZay,Father Knows Best State,Average,Frightening,Rare
nation=the_osperian_synarchy,The Martial Order of The Osperian Synarchy,Left-Leaning College State,Superb,Frightening,Good
nation=annihitor_the_incred,The Abominable Dreadstomp of Annihitor the Incred,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=unielvan_millorvium,The United Directorate of Unielvan Millorvium,Corrupt Dictatorship,Average,Frightening,Unheard Of
nation=flanderlion,The Glorious Kingdom of Flanderlion,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=g_c_bakura,The Shining Islands of G C Bakura,Scandinavian Liberal Paradise,Excellent,Frightening,Good
nation=athretvari,The High-Technate of Athretvari,New York Times Democracy,Very Good,Frightening,Excellent
nation=dra-pol,The Kurosite People's Republic of Dra-pol,Psychotic Dictatorship,Unheard Of,All-Consuming,Unheard Of
nation=incindia_village,The Dictatorship of Incindia Village,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=pax_aurea,The Federal Commonwealth of Pax Aurea,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=kyldellian_halon,The Third Social Alliance of Kyldellian Halon,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=goodnamesarerare,The People's Republic of Goodnamesarerare,Democratic Socialists,Very Good,Frightening,Below Average
nation=zamri1138,The Weirdo Empire of Zamri1138,Corrupt Dictatorship,Below Average,Frightening,Unheard Of
nation=menonten,The Third Social Alliance of Menonten,Democratic Socialists,Average,Frightening,Very Good
nation=disco_empire,The Dominion of Disco Empire,Democratic Socialists,Excellent,Frightening,Excellent
nation=servoth,The Integrated Machine Authority of Servoth,Democratic Socialists,Very Good,Frightening,Average
nation=krptonist,The Nazbol-Marxist States of Krptonist,Democratic Socialists,Good,Frightening,Good
nation=the_prussian_raumreich,The Inian Confederation of The Prussian Raumreich,Inoffensive Centrist Democracy,Average,Frightening,Excellent
nation=thomura,The Democratic People's Republic of Thomura,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=godular,The An'Kazar Control Framework of Godular,Civil Rights Lovefest,Superb,Frightening,Excellent
nation=the_ascendant_hive,The Social Darwinist Imperium of The Ascendant Hive,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=mascorp,The Third Social Alliance of Mascorp,Inoffensive Centrist Democracy,Good,Frightening,Very Good
nation=the_stalker,The Mad King of Hell of The Stalker,Father Knows Best State,Below Average,Frightening,Few
nation=kyldellian_xezoden,The Third Social Alliance of Kyldellian Xezoden,Democratic Socialists,Below Average,Frightening,Good
nation=kyldellian_paloxe,The Third Social Alliance of Kyldellian Paloxe,Democratic Socialists,Below Average,Frightening,Good
nation=lederland,The Eternal Dread Empire of Lederland,Father Knows Best State,Average,Frightening,Unheard Of
nation=kyldellian_anora,The Third Social Alliance of Kyldellian Anora,Democratic Socialists,Good,Frightening,Very Good
nation=pantalm,The Dominion of Pantalm,Psychotic Dictatorship,Rare,Frightening,Unheard Of
nation=reikmarch,The United Empire of Reikmarch,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=kyldellian_larxe,The Third Social Alliance of Kyldellian Larxe,Democratic Socialists,Below Average,Frightening,Very Good
nation=verben,The Third Social Alliance of Verben,Democratic Socialists,Good,Frightening,Average
nation=aibohphobia,The Recursiveness of Aibohphobia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=the_sanada_clan,The LaLaLand of The Sanada Clan,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=alragone,The Third Social Alliance of Alragone,Democratic Socialists,Average,Frightening,Very Good
nation=old_atlantica,The Federation of Old Atlantica,Inoffensive Centrist Democracy,Very Good,Frightening,Average
nation=grossvietnam,The Galactic Socialist Imperium of Grossvietnam,Father Knows Best State,Average,Frightening,Few
nation=kyldellian_galnge,The Third Social Alliance of Kyldellian Galnge,Democratic Socialists,Below Average,Frightening,Very Good
nation=kyldellian_myral,The Third Social Alliance of Kyldellian Myral,Democratic Socialists,Good,Frightening,Average
nation=king_carl,The Mysterious Airship of King Carl,Iron Fist Consumerists,Rare,Frightening,Rare
nation=the_big_bad_boo,The Cattery of The Big Bad Boo,Democratic Socialists,Very Good,Frightening,Very Good
nation=merconitonitopia,The Magic and the Mystery of Merconitonitopia,Authoritarian Democracy,Unheard Of,Frightening,Very Good
nation=clarkstan,The Federal Republic of Clarkstan,Liberal Democratic Socialists,Some,Frightening,Superb
nation=absentia,The Ongoing State of Absentia,Inoffensive Centrist Democracy,Very Good,Frightening,Average
