Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=kindjal,The Queendom of Kindjal,Left-wing Utopia,Excellent,Weak,Superb
nation=tzo,The Just of Tzo,Left-wing Utopia,Superb,Fair,Excessive
nation=deep_south_borland,The Holiest of the Holy Lands of Deep South Borland,Authoritarian Democracy,Outlawed,Imploded,Some
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=crazed_monkies,The Armed Republic of Crazed monkies,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=timao,The Fielzão of Timao,New York Times Democracy,Excellent,Strong,Superb
nation=st_stephen_n_critters,The Community of St Stephen n Critters,Left-wing Utopia,World Benchmark,Developing,Superb
nation=marimite,The Bara Loving Free Land of Marimite,New York Times Democracy,Good,Reasonable,Excellent
nation=wilkshire,The Republic of Wilkshire,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=kyupaa,The Republic of Kyupaa,Democratic Socialists,Very Good,Imploded,Very Good
nation=aibohphobia,The Recursiveness of Aibohphobia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=pax_aurea,The Federal Commonwealth of Pax Aurea,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=outer_sparta,The Kingdom of Outer Sparta,Liberal Democratic Socialists,Excellent,Frightening,Excellent
nation=safj,The Serene Compassionate Utopia of Safj,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=mexican_liberation,The Grand Imperium of Divinity of Mexican Liberation,Left-wing Utopia,Frightening,Frightening,Widely Abused
nation=half-milers,The Classy Realm of Half-Milers,Civil Rights Lovefest,Frightening,Frightening,Widely Abused
nation=ioavollr,The Mostly Insignificant Nation of Ioavollr,Scandinavian Liberal Paradise,Superb,Imploded,Very Good
nation=yaorozu,The Rising Sun's Land of Yaorozu,Authoritarian Democracy,Few,Frightening,Below Average
nation=mozworld,The Eco-Republic of Mozworld,Democratic Socialists,Some,Fair,Average
nation=blogotopia,The Anarchy of Blogotopia,Left-Leaning College State,Superb,Frightening,Very Good
nation=mindalia,The Pristine Redoubt of Mindalia,New York Times Democracy,Excellent,Frightening,Superb
nation=divine_cervine,The Benevolent Queendom of Divine Cervine,Democratic Socialists,Below Average,Frightening,Good
nation=enrichment,The Commonwealth of Enrichment,Democratic Socialists,Some,Frightening,Average
nation=ransium,The United Mangrove Archipelago of Ransium,Democratic Socialists,Average,Frightening,Excellent
nation=fortune1,The Nak Nakian WA Embassy of Fortune1,Civil Rights Lovefest,Superb,Reasonable,Excellent
nation=monterey_bay_aquarium,The Environmentalists of Monterey Bay Aquarium,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=demeter,The Mystery Cult of Demeter,Democratic Socialists,Good,Frightening,Very Good
nation=omegashenron,The Holy Pink Zombie of OmegaShenron,Democratic Socialists,Excellent,Frightening,Very Good
nation=zavea,The Federation of Zavea,Democratic Socialists,Good,Frightening,Below Average
nation=kiaville,The Democratic States of Kiaville,Left-wing Utopia,Excellent,Frightening,Superb
nation=schala,The Disputed Territories of Schala,Corrupt Dictatorship,Below Average,Frightening,Unheard Of
nation=applejacky,The Agricultural Paradise of AppleJacky,Scandinavian Liberal Paradise,Excellent,Frightening,Excellent
nation=tokora,The Democratic Republic of Tokora,Democratic Socialists,Good,Frightening,Good
nation=urgabah,The People's Socialist Republic of Urgabah,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=papajacky,The Dominion of PapaJacky,Democratic Socialists,Excellent,Frightening,Very Good
nation=ral_ixshida,The Ral System Capital World of Ral Ixshida,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=smiley_bob,The Zombie Emoticons of Smiley Bob,Left-wing Utopia,Superb,Frightening,Superb
nation=equgothic_nation,The United Individuals of EquGothic Nation,Democratic Socialists,Average,Imploded,Good
nation=socialist_xlyvania,The Imprial Mpir of Socialist Xlyvania,Democratic Socialists,Below Average,Frightening,Very Good
nation=evilcia,The Zombie Prolife Kingdom of Evilcia,Left-wing Utopia,Superb,Frightening,Superb
nation=seranis,The Pristine Protectorate of Seranis,New York Times Democracy,Very Good,Frightening,Excessive
nation=kiasu-ism,The Republic of Kiasu-ism,Inoffensive Centrist Democracy,Average,Frightening,Very Good
nation=eastfield_lodge,The Imperial Commonwealth of Eastfield Lodge,Democratic Socialists,Average,Frightening,Good
nation=thalasse,The PS2 Puppet of Thalasse,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=avaerilon,The Magnificent Kingdom of Avaerilon,Civil Rights Lovefest,Excessive,Frightening,Widely Abused
nation=fauzjhia,The Communist Easter Egg Kingdom of Fauzjhia,Left-wing Utopia,Superb,Frightening,Superb
nation=senshu,The Republic of Senshu,Left-wing Utopia,Superb,Very Strong,Superb
nation=psycho_birds,The Sadistic Dungeons of Psycho Birds,Father Knows Best State,Some,Frightening,Rare
nation=vancovaria,The Federal Democratic Republic of Vancovaria,Left-wing Utopia,Excessive,Frightening,Superb
nation=countriopia,The Democratic Republic of Countriopia,Liberal Democratic Socialists,Very Good,Frightening,Superb
nation=little_woodhouse,The Union of Egoists of Little Woodhouse,Left-wing Utopia,Superb,Developing,Excellent
nation=saltanyas,The Republic of Saltanyas,Left-wing Utopia,Frightening,Frightening,Corrupted
nation=the_palace_of_god_2,The Federal Sovereign State of The palace of God 2,Democratic Socialists,Very Good,Frightening,Excellent
nation=szczuropolis,The Vermindom of Szczuropolis,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=copercia,The PS2 Puppet of Copercia,Tyranny by Majority,Outlawed,Imploded,Corrupted
nation=gunfreak,The Empire of Gunfreak,Democratic Socialists,Excellent,Weak,Very Good
nation=universal_utopian_state,The Socialist Empire of Universal Utopian State,Democratic Socialists,Very Good,Frightening,Very Good
nation=shaktirajya,The People's Hindu Matriarchy of Shaktirajya,Civil Rights Lovefest,Superb,Frightening,Excellent
nation=elejamie,The Unified Tracts of Elejamie,Civil Rights Lovefest,Excessive,Frightening,Superb
nation=outer_utonixick_gollinican,The Kingdom of Outer Utonixick Gollinican,Democratic Socialists,Below Average,Frightening,Good
nation=liberal_liberals,The CUP-Eladeni Isocracy of Liberal Liberals,Left-wing Utopia,World Benchmark,Fragile,Superb
nation=havl,The Nation State of Havl,Left-wing Utopia,Superb,Fair,Superb
nation=turulorszag,The Waldgängers of Turulorszag,Democratic Socialists,Excellent,Strong,Below Average
nation=arithei,The Imperial Dominion of Arithei,Civil Rights Lovefest,Superb,Frightening,World Benchmark
nation=alvestad,The Community of Alvestad,Liberal Democratic Socialists,Excellent,Frightening,Excellent
nation=outter_micronesia,The Gentle Peoples of Outter Micronesia,Left-Leaning College State,Superb,Imploded,Excellent
nation=insaniragica,The Utopia of Insaniragica,Democratic Socialists,Average,Frightening,Below Average
nation=taineizbria,The Zombie Fauzjhian Province of Taineizbria,Left-wing Utopia,Superb,Frightening,World Benchmark
nation=draconis_nightcrawlis,The Einherjers of Draconis Nightcrawlis,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=the_monterey_bay_aquarium,The Environmentalists of The Monterey Bay Aquarium,Democratic Socialists,Very Good,Frightening,Very Good
nation=dragodon,The Dragonic Dictatorship of Dragodon,Corrupt Dictatorship,Below Average,Frightening,Outlawed
