Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=surprise,The Element of Surprise,Anarchy,Frightening,Strong,Corrupted
nation=caninope,The Holy Capitalist Green States of Caninope,Capitalizt,Superb,Frightening,Excellent
nation=madame_vastra,The Victorian Silurian World of Madame Vastra,Anarchy,Frightening,Strong,Corrupted
nation=dread_nanny_roberts,The Guild of Noble Nannies of Dread Nanny Roberts,Anarchy,Frightening,Strong,Corrupted
nation=sedgetest,The Oppressed Peoples of Sedgetest,Anarchy,Excessive,Very Strong,World Benchmark
nation=a_carousel_pony,The Kaleidoscope World of A Carousel Pony,Anarchy,Frightening,Strong,Corrupted
nation=alice_parker,The Thievery of Alice Parker,Anarchy,Frightening,Strong,Corrupted
nation=neptune,The Republic of Neptune,Anarchy,Frightening,Strong,Corrupted
nation=a-666,The Queen's State of A-666,Anarchy,Frightening,Thriving,Corrupted
nation=atafu,The Queen's State of Atafu,Anarchy,Frightening,Very Strong,Corrupted
nation=nathan_ford,The Plan M where Alec Dies of Nathan Ford,Capitalizt,Superb,Strong,Below Average
nation=emily_strange,The Most Strange Republic of Emily Strange,Anarchy,Frightening,Strong,Corrupted
nation=ville_managua,The Queen's State of Ville Managua,Anarchy,Superb,Very Strong,Corrupted
nation=malgetaec,The Queen's State of Malgetaec,Anarchy,Frightening,Very Strong,Corrupted
nation=ie,The Queen's State of IE,Anarchy,Frightening,Very Strong,Corrupted
nation=ryb,The State of Ryb,Benevolent Dictatorship,Superb,Very Strong,Outlawed
nation=world_bowl,The Gridiron-Loving State of World Bowl,Capitalizt,Excellent,Powerhouse,Excellent
nation=ji,The Queen's State of JI,Anarchy,Frightening,Very Strong,Corrupted
nation=laos_state,The State of Laos State,Anarchy,Frightening,Very Strong,Corrupted
nation=polar-bear,The Snow-Covered Land of Polar-bear,Anarchy,Superb,Strong,Corrupted
nation=zombie_capitalist,The Zombie Corporation of Zombie Capitalist,Capitalizt,Superb,Very Strong,Average
nation=gd,The Queen's State of GD,Anarchy,Frightening,Very Strong,Corrupted
nation=omak,The Queen's State of Omak,Anarchy,Frightening,Very Strong,Corrupted
nation=24_hour,The Queen's State of 24 Hour,Anarchy,Frightening,Very Strong,Corrupted
nation=kyrkhemgard,The Queen's State of Kyrkhemgard,Anarchy,Excessive,Very Strong,Corrupted
nation=agur,The Queen's State of Agur,Anarchy,Frightening,Strong,Corrupted
nation=dead_whale,The Bloated Corpse of Dead Whale,Capitalizt,Frightening,Strong,Very Good
nation=soufriere,The Queen's State of Soufriere,Anarchy,Frightening,Very Strong,Corrupted
nation=comorosi,The Queen's State of Comorosi,Anarchy,Superb,Very Strong,Corrupted
nation=turenne,The Holy Empire of Turenne,Anarchy,Frightening,Strong,Corrupted
nation=zv,The State of ZV,Anarchy,World Benchmark,Very Strong,Corrupted
nation=wh,The Queen's State of WH,Anarchy,Frightening,Powerhouse,Corrupted
nation=iman_ahmed_albadr,The Queen's State of Iman Ahmed alBadr,Anarchy,Frightening,Very Strong,Corrupted
nation=graveyards3,The Republic of Graveyards3,Anarchy,Frightening,Strong,Corrupted
nation=meadowpark,The State of Meadowpark,Anarchy,Frightening,Thriving,Corrupted
nation=vitdaeg,The Queen's State of Vitdaeg,Anarchy,Excessive,Powerhouse,Widely Abused
nation=nevada,The Rogue Nation of Nevada,Anarchy,Frightening,Strong,Corrupted
nation=lady_marian,The Girlish Infatuation of Lady Marian,Anarchy,Frightening,Strong,Corrupted
nation=mw,The Queen's State of MW,Anarchy,Frightening,Very Strong,Corrupted
nation=ile_bourbon,The Queen's State of Ile Bourbon,Anarchy,Frightening,Strong,Corrupted
nation=jt,The Queen's State of JT,Anarchy,Frightening,Very Strong,Corrupted
nation=zywe,The Queen's State of Zywe,Anarchy,Frightening,Strong,Widely Abused
nation=zwanzig_sieben,The Queen's State of Zwanzig Sieben,Anarchy,Frightening,Very Strong,Corrupted
nation=saxe-eisenach,The Grand Duchy of Saxe-Eisenach,Benevolent Dictatorship,Excellent,Powerhouse,Outlawed
nation=belinda_montagu,The Queen's State of Belinda Montagu,Compulsory Consumerist State,Good,Very Strong,Outlawed
nation=azumi_gozen,The Bokei of Azumi Gozen,Anarchy,Frightening,Strong,Corrupted
nation=judah_jacobs,The State of Judah Jacobs,Anarchy,Excessive,Strong,World Benchmark
nation=ge,The Queen's State of GE,Anarchy,Frightening,Very Strong,Corrupted
nation=nn,The Queen's State of NN,Anarchy,Frightening,Very Strong,Corrupted
nation=tuckersmithe,The Queen's State of Tuckersmithe,Free-Market Paradise,Few,Very Strong,World Benchmark
nation=joli_rouge,The Rouge Nation of Joli Rouge,Anarchy,Frightening,Strong,Corrupted
nation=fw,The Queen's State of Fw,Anarchy,World Benchmark,Very Strong,Corrupted
nation=tertius_zongo,The Queen's State of Tertius Zongo,Anarchy,Frightening,Very Strong,Corrupted
nation=the_royal_gta,The Queen's State of The Royal GTA,Anarchy,Excessive,Very Strong,World Benchmark
nation=ombella_mpoko,The Queen's State of Ombella MPoko,Anarchy,World Benchmark,Very Strong,Corrupted
nation=comtroller,The Queen's State of Comtroller,Anarchy,Frightening,Very Strong,World Benchmark
nation=conestoga_lake,The State of Conestoga Lake,Corporate Bordello,Good,Very Strong,Superb
nation=xz,The State of XZ,Anarchy,Frightening,Very Strong,Corrupted
nation=trucial_oman,The Queen's State of Trucial Oman,Corporate Bordello,Very Good,Very Strong,World Benchmark
nation=df,The Queen's State of DF,Anarchy,Frightening,Very Strong,Corrupted
nation=pinerose,The Queen's State of Pinerose,Anarchy,Frightening,Very Strong,Corrupted
nation=rhotaec,The Queen's State of Rhotaec,Anarchy,Frightening,Very Strong,Corrupted
nation=tyson_seymour,The Queen's State of Tyson Seymour,Anarchy,Frightening,Very Strong,Corrupted
nation=hs,The Queen's State of HS,Anarchy,Frightening,Very Strong,Corrupted
nation=trinidad,The Queen's State of Trinidad,Anarchy,Frightening,Very Strong,Corrupted
nation=bailey_command,The Queen's State of Bailey Command,Anarchy,Frightening,Very Strong,Corrupted
nation=algoma_rd,The Queen's State of Algoma RD,Anarchy,Superb,Very Strong,World Benchmark
nation=random_rerouting,The Queen's State of Random ReRouting,Capitalizt,Excessive,Very Strong,Average
nation=chery_english,The Queen's State of Chery English,Anarchy,Frightening,Powerhouse,Corrupted
nation=zr,The State of ZR,Anarchy,Frightening,Powerhouse,Corrupted
nation=st,The Queen's State of ST,Anarchy,Frightening,Very Strong,Corrupted
nation=ys,The State of YS,Anarchy,Frightening,Very Strong,Corrupted
nation=melody_watson,The Queen's State of Melody Watson,Anarchy,Frightening,Very Strong,Corrupted
nation=dclxvie,The Queen's State of DCLXVIe,Anarchy,Frightening,Very Strong,Corrupted
nation=bradshaw_homestead,The Queen's State of Bradshaw Homestead,Anarchy,Superb,Very Strong,Corrupted
nation=tc,The Queen's State of TC,Anarchy,Frightening,Very Strong,Corrupted
nation=bailey_tyre,The Queen's State of Bailey Tyre,Anarchy,Frightening,Strong,Corrupted
nation=hms_cockburn,The Queen's State of HMS Cockburn,Anarchy,Frightening,Very Strong,Corrupted
nation=viloyati,The Queen's State of Viloyati,Anarchy,Frightening,Very Strong,Corrupted
nation=alg_prime,The Queen's State of ALG Prime,Anarchy,Excessive,Very Strong,World Benchmark
nation=darussalem,The State of Darussalem,Anarchy,Frightening,Very Strong,Corrupted
nation=ray,The Queen's State of Ray,Anarchy,Frightening,Very Strong,Corrupted
nation=cafe,The Girnian Borderlands of Cafe,Compulsory Consumerist State,Good,Very Strong,Rare
nation=ioke,The State of Ioke,Anarchy,Frightening,Very Strong,Corrupted
nation=global_anarchist,The Queen's State of Global Anarchist,Anarchy,Frightening,Very Strong,Corrupted
nation=ec,The Queen's State of EC,Anarchy,Excessive,Very Strong,Corrupted
nation=hans_isle,The Queen's State of Hans Isle,Anarchy,Excessive,Very Strong,Corrupted
nation=bigelow_chatham,The Queen's State of Bigelow Chatham,Anarchy,Frightening,Very Strong,Corrupted
nation=benin_state,The Queen's State of Benin State,Anarchy,Frightening,Very Strong,Corrupted
nation=ponts_de_laval,The State of Ponts de Laval,Compulsory Consumerist State,Very Good,Very Strong,Outlawed
nation=this_is_gods_country,The Queen's State of This Is Gods Country,Anarchy,Excessive,Powerhouse,World Benchmark
nation=autourous,The Queen's State of Autourous,Anarchy,World Benchmark,Thriving,Corrupted
nation=cs,The Queen's State of CS,Anarchy,Frightening,Very Strong,Corrupted
nation=zu,The State of Zu,Anarchy,World Benchmark,Very Strong,Corrupted
nation=hms_algoma,The Queen's State of HMS Algoma,Anarchy,Frightening,Very Strong,Corrupted
Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=this_is_gods_country,The Queen's State of This Is Gods Country,Anarchy,Excessive,Powerhouse,World Benchmark
nation=autourous,The Queen's State of Autourous,Anarchy,World Benchmark,Thriving,Corrupted
nation=cs,The Queen's State of CS,Anarchy,Frightening,Very Strong,Corrupted
nation=zu,The State of Zu,Anarchy,World Benchmark,Very Strong,Corrupted
nation=hms_algoma,The Queen's State of HMS Algoma,Anarchy,Frightening,Very Strong,Corrupted
nation=jx,The Queen's State of JX,Anarchy,Frightening,Very Strong,Corrupted
nation=nunaka,The Queen's State of Nunaka,Anarchy,World Benchmark,Very Strong,Corrupted
nation=umaghiesi_sabcho,The State of Umaghiesi Sabcho,Anarchy,Frightening,Very Strong,Corrupted
nation=-anarchy,The Free Land of -Anarchy,Anarchy,Frightening,Strong,Corrupted
nation=golden_dust,The Free Land of Golden Dust,Anarchy,Frightening,Strong,Corrupted
nation=gm,The Queen's State of GM,Anarchy,Excessive,Very Strong,Corrupted
nation=basseterre_beach,The Queen's State of Basseterre Beach,Anarchy,Frightening,Very Strong,Corrupted
nation=ravania_ithilia,The Mordorian Borderlands of Ravania Ithilia,Anarchy,Frightening,Strong,Corrupted
nation=mz,The Queen's State of MZ,Anarchy,Frightening,Very Strong,Corrupted
nation=vayia,The Queen's State of Vayia,Anarchy,Frightening,Thriving,Superb
nation=mel_lyon,The Queen's State of Mel Lyon,Anarchy,Frightening,Very Strong,Corrupted
nation=sariane,The Queen's State of Sariane,Anarchy,Frightening,Strong,Corrupted
nation=torshaven,The State of Torshaven,Benevolent Dictatorship,Superb,Very Strong,Unheard Of
nation=yh,The State of Yh,Anarchy,Frightening,Very Strong,Corrupted
nation=et_deux,The Queen's State of Et Deux,Corporate Bordello,Good,Thriving,Superb
nation=twincadillacvalentine,The Unexpected Gift of TwinCadillacValentine,Anarchy,Excessive,Strong,Corrupted
nation=kf,The Queen's State of KF,Anarchy,Frightening,Very Strong,Corrupted
nation=fr,The Queen's State of FR,Anarchy,Frightening,Very Strong,Corrupted
nation=clark_meadow,The State of Clark Meadow,Anarchy,World Benchmark,Strong,Corrupted
nation=dominion_emperor,The Queen's State of Dominion Emperor,Anarchy,Frightening,Very Strong,Corrupted
nation=ht,The Queen's State of HT,Anarchy,Frightening,Very Strong,Corrupted
nation=queen_margrethe,The Dowager Queendom of Queen Margrethe,Anarchy,Frightening,Strong,Corrupted
nation=oelrich,The State of Oelrich,Corporate Bordello,Very Good,Strong,Superb
