Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=dra-pol,The Kurosite People's Republic of Dra-pol,Psychotic Dictatorship,Unheard Of,All-Consuming,Unheard Of
nation=darths_and_droids,The Webcomic RolePlaying Game of Darths and Droids,Democratic Socialists,Good,Frightening,Some
nation=varayusha,The People's Republic of Varayusha,Democratic Socialists,Some,Frightening,Average
nation=a_baddon,The Armed Republic of A baddon,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=greater_cuba,The Great Scientific Polity of Greater Cuba,Civil Rights Lovefest,Superb,All-Consuming,World Benchmark
nation=dragons_power,The Grand Duchy of Dragons Power,Psychotic Dictatorship,Outlawed,Very Strong,Outlawed
nation=urgabah,The People's Socialist Republic of Urgabah,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=minchioria,The Transhuman Communist State of Minchioria,Democratic Socialists,Good,Frightening,Very Good
nation=thalasse,The PS2 Puppet of Thalasse,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=safj,The Serene Compassionate Utopia of Safj,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=che_triumphant,The Sanctuary of Che Triumphant,Democratic Socialists,Very Good,Frightening,Good
nation=merconitonitopia,The Magic and the Mystery of Merconitonitopia,Authoritarian Democracy,Unheard Of,Frightening,Very Good
nation=kindjal,The Queendom of Kindjal,Left-wing Utopia,Excellent,Weak,Superb
nation=soviet_arkansas,The Worker's Paradise of Soviet Arkansas,Iron Fist Socialists,Superb,Frightening,Outlawed
nation=blackbird,The United Socialist States of Blackbird,Left-wing Utopia,Superb,Reasonable,Excellent
nation=kanoria,The Anti-essentialist Disorder of Kanoria,Left-wing Utopia,Superb,Frightening,Excellent
nation=eastfield_lodge,The Imperial Commonwealth of Eastfield Lodge,Democratic Socialists,Average,Frightening,Good
nation=pletamia,The Divine National Worker State of Pletamia,Psychotic Dictatorship,Outlawed,All-Consuming,Outlawed
nation=the_palace_of_god_2,The Federal Sovereign State of The palace of God 2,Democratic Socialists,Very Good,Frightening,Excellent
nation=free_socialism,The Culture of Free Socialism,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=iacomia,The Exalted Republic of Iacomia,Libertarian Police State,Superb,Frightening,Rare
nation=divine_cervine,The Benevolent Queendom of Divine Cervine,Democratic Socialists,Below Average,Frightening,Good
nation=ahsca,The United Island States of AHSCA,Father Knows Best State,Good,Frightening,Few
nation=marxist-feminists,The Guiding Red Light of Marxist-Feminists,Corrupt Dictatorship,Excellent,Frightening,Rare
nation=mexican_liberation,The Grand Imperium of Divinity of Mexican Liberation,Left-wing Utopia,Frightening,Frightening,Widely Abused
nation=united_states_of_edwards,The Federal Republic of United States of Edwards,Left-wing Utopia,Superb,Very Strong,Superb
nation=socialist_cockroaches,The All-Pervasive Infestation of Socialist Cockroaches,Psychotic Dictatorship,Outlawed,Developing,Unheard Of
nation=united_provinces_of_atlantica,The Most Serene Jarldom of United Provinces of Atlantica,Left-wing Utopia,Superb,Frightening,Superb
nation=saltanyas,The Republic of Saltanyas,Left-wing Utopia,Frightening,Frightening,Corrupted
nation=dindrenzi,The Socialist Directorate of Dindrenzi,Democratic Socialists,Very Good,Frightening,Very Good
nation=styki,The Kingdom of Styki,Father Knows Best State,Some,Strong,Unheard Of
nation=gretial,The People's Community of Gretial,Democratic Socialists,Excellent,Frightening,Excellent
nation=mehrabad,The Hikûmeta Gel of Mehrabad,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=tzo,The Just of Tzo,Left-wing Utopia,Superb,Fair,Excessive
nation=greater_new_indus,The Interdimensional Confederacy of Greater New Indus,Left-wing Utopia,Frightening,Frightening,Widely Abused
nation=dutchyland,The Mystical Isles of Dutchyland,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=gustpolvich,The Socialist Utopia of Gustpolvich,Democratic Socialists,Excellent,Frightening,Excellent
nation=last_choicia,The Anomaly of Last Choicia,Psychotic Dictatorship,Few,Frightening,Few
nation=herrebrugh,The Kingd' o' t' Herrebrugh Isl' of Herrebrugh,Liberal Democratic Socialists,Excellent,Frightening,Excessive
nation=holy_theocracy_of_the_endocrine,The Cheeky Tease of Holy Theocracy of the Endocrine,Liberal Democratic Socialists,Very Good,Frightening,Superb
nation=g3n13,The Extremely Oppressed Peoples of G3N13,Iron Fist Socialists,Excellent,Frightening,Few
nation=celtician,The Armed Republic of Celtician,Psychotic Dictatorship,Rare,Frightening,Outlawed
nation=oneiro,The Largely Ungoverned Territory of Oneiro,Liberal Democratic Socialists,Very Good,Frightening,World Benchmark
nation=emville,The Ancient Occult Hivemind of Emville,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=applejacky,The Agricultural Paradise of AppleJacky,Scandinavian Liberal Paradise,Excellent,Frightening,Excellent
nation=expendia,The Monastic Technocracy of Expendia,Corrupt Dictatorship,Some,Frightening,Outlawed
nation=zedoljev,The Tschazanovist Federation of Zedoljev,Democratic Socialists,Some,Frightening,Excellent
nation=marimite,The Bara Loving Free Land of Marimite,New York Times Democracy,Good,Reasonable,Excellent
nation=utopian_archive,The Community Wealth of Utopian Archive,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=papajacky,The Dominion of PapaJacky,Democratic Socialists,Excellent,Frightening,Very Good
nation=the_astral_eternals,The Most Serene Republic of The Astral Eternals,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=little_woodhouse,The Union of Egoists of Little Woodhouse,Left-wing Utopia,Superb,Developing,Excellent
nation=taineizbria,The Zombie Fauzjhian Province of Taineizbria,Left-wing Utopia,Superb,Frightening,World Benchmark
nation=blogotopia,The Anarchy of Blogotopia,Left-Leaning College State,Superb,Frightening,Very Good
nation=beatesia,The Democratic People's Republic of Beatesia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=soviet_polsol,The Leninist Republic of Soviet Polsol,Democratic Socialists,Very Good,Frightening,Average
nation=fauzjhia,The Communist Easter Egg Kingdom of Fauzjhia,Left-wing Utopia,Superb,Frightening,Superb
