Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=turulorszag,The Waldgängers of Turulorszag,Democratic Socialists,Excellent,Strong,Below Average
nation=ransium,The United Mangrove Archipelago of Ransium,Democratic Socialists,Average,Frightening,Excellent
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=insaniragica,The Utopia of Insaniragica,Democratic Socialists,Average,Frightening,Below Average
nation=darths_and_droids,The Webcomic RolePlaying Game of Darths and Droids,Democratic Socialists,Good,Frightening,Some
nation=monterey_bay_aquarium,The Environmentalists of Monterey Bay Aquarium,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=reannia,The Kingdom of Reannia,Democratic Socialists,Very Good,Frightening,Below Average
nation=urgabah,The People's Socialist Republic of Urgabah,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=demeter,The Mystery Cult of Demeter,Democratic Socialists,Good,Frightening,Very Good
nation=safj,The Serene Compassionate Utopia of Safj,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=merconitonitopia,The Magic and the Mystery of Merconitonitopia,Authoritarian Democracy,Unheard Of,Frightening,Very Good
nation=blogotopia,The Anarchy of Blogotopia,Left-Leaning College State,Superb,Frightening,Very Good
nation=aibohphobia,The Recursiveness of Aibohphobia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=ambry,The Island of Ambry,Inoffensive Centrist Democracy,Very Good,Frightening,Excellent
nation=bilsa,The Beauty Land of Bilsa,Father Knows Best State,Very Good,Frightening,Outlawed
nation=tokora,The Democratic Republic of Tokora,Democratic Socialists,Good,Frightening,Good
nation=ahsca,The United Island States of AHSCA,Father Knows Best State,Good,Frightening,Few
nation=thalasse,The PS2 Puppet of Thalasse,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=goldenmouth,The Hateful Aberration of Goldenmouth,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=psycho_birds,The Sadistic Dungeons of Psycho Birds,Father Knows Best State,Some,Frightening,Rare
nation=infinite_coscotlan,The Endless Atzoatlaxixcalnican of Infinite Coscotlan,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=divine_cervine,The Benevolent Queendom of Divine Cervine,Democratic Socialists,Below Average,Frightening,Good
nation=anarchyst,The CIDAO of Anarchyst,New York Times Democracy,Excellent,Frightening,Excellent
nation=arcterus,The Dominion of Arcterus,Civil Rights Lovefest,Frightening,Frightening,World Benchmark
nation=the_anza-borrego_desert_state_park,The Environmentalists of The Anza-Borrego Desert State Park,Democratic Socialists,Good,Frightening,Good
nation=kiaville,The Democratic States of Kiaville,Left-wing Utopia,Excellent,Frightening,Superb
nation=dragodon,The Dragonic Dictatorship of Dragodon,Corrupt Dictatorship,Below Average,Frightening,Outlawed
nation=eastfield_lodge,The Imperial Commonwealth of Eastfield Lodge,Democratic Socialists,Average,Frightening,Good
nation=borrego_springs,The Desert Town of Borrego Springs,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=wilkshire,The Republic of Wilkshire,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=sovesky,The Nirvana of SoveskY,Left-Leaning College State,Excellent,All-Consuming,Good
nation=badger_wind,The Empire of Badger Wind,Psychotic Dictatorship,Few,Frightening,Few
nation=holy_theocracy_of_the_endocrine,The Cheeky Tease of Holy Theocracy of the Endocrine,Liberal Democratic Socialists,Very Good,Frightening,Superb
