Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=askatopia,The PS2 Puppet of Askatopia,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=bright_angel,The Sadistic Republic of Bright Angel,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=josephland,The Corporate Dictatorship of Josephland,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=americad,The Unassuming Puppet State of Americad,Iron Fist Consumerists,Unheard Of,Frightening,Outlawed
nation=clench,The Popsicle Pete Nation of Clench,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=the_real_matrix,The Little Brotherhood of The Real Matrix,Iron Fist Consumerists,Rare,Frightening,Outlawed
nation=haedlia,The Holy Empire of Haedlia,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=king_carl,The Mysterious Airship of King Carl,Iron Fist Consumerists,Rare,Frightening,Rare
nation=knowwear_in_youtopia,The Armed Republic of Knowwear in Youtopia,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=los_santos,The Very Large Safari Park of Los Santos,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=israeli_airstrikes,The Oppressive Oppressors of Israeli Airstrikes,Corporate Police State,Unheard Of,Frightening,Outlawed
nation=annihitor_the_incred,The Abominable Dreadstomp of Annihitor the Incred,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=east_borland,The Exalted Supremacy of East Borland,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=teufelvolk,The Dominion of Teufelvolk,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=nadir_dystopia,The Holy Yellow CAM of Nadir Dystopia,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=muspellheim,The Brennanndi Ríki of Muspellheim,Corporate Police State,Rare,Frightening,Rare
nation=hc_eredivisie,The Thirteen Zombie Hells of HC Eredivisie,Iron Fist Consumerists,Few,Frightening,Few
nation=seven_by_nine,The Dominion of Seven by Nine,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=northern_borland,The Allied Corporate Empire of Northern Borland,Capitalizt,Superb,Frightening,Good
nation=the_dark_system,The Mafian Economic Extremist of The Dark System,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=the_iron_league,The Supreme Dictatorship of The Iron League,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=daedra1a,The Modern Portfolio Theory of Daedra1a,Capitalist Paradise,Very Good,Frightening,Excellent
nation=marnady,The Zombie Corrupt Evil Corp of Marnady,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=geodesicdragon,The Apocalypse of GeodesicDragon,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=cutote,The People's Republic of Cutote,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=abu_ammar,The Holiest Flavor of ABU AMMAR,Father Knows Best State,Some,Frightening,Unheard Of
nation=tzuland,The Military Dictatorship of Tzuland,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=the_goggles,The Confederacy of The Goggles,Iron Fist Consumerists,Few,Frightening,Outlawed
nation=little_flowers,The Empire of Little Flowers,Capitalizt,Excellent,Frightening,Below Average
nation=ewing_oil_co,The Barnes-Free Conglomerate of Ewing Oil Co,Corporate Police State,Few,Frightening,Few
nation=overdosed_crackheads,The Dictatorship of Overdosed crackheads,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=zaktoutr,The Reformed Demonic Assembly of Zaktoutr,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=chris_hall,The Free Land of Chris Hall,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=the_grendels,The Indomitable Borderlands of The Grendels,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=nak_nak,The Allmighty Power of Nak nak,Compulsory Consumerist State,Below Average,Frightening,Unheard Of
nation=the_strategic_air_command,The United Stratocratic States of The Strategic Air Command,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=nakina_koreazu,The Mad Empire of Nakina Koreazu,Iron Fist Consumerists,Rare,Frightening,Rare
nation=boloshniya,The United Economic Republic of Boloshniya,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=brotherhood_of_nod,The Dictatorship of Brotherhood of nod,Corporate Police State,Few,Frightening,Unheard Of
nation=complete_bastards,The Dominion of Complete Bastards,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=donkervader,The Slow Loud Breathers of Donkervader,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=isla_vista,The Godless Mercantile Nexus of Isla Vista,Compulsory Consumerist State,Average,Frightening,Few
nation=koffee,The Richly Blended Peoples of Koffee,Capitalist Paradise,Average,Frightening,Average
nation=steveoville,The Police State of Steveoville,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=flanderlion,The Glorious Kingdom of Flanderlion,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=feckface,The Allmighty Nak Nakian Colony of Feckface,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=dragyn,The Iron Mall of Dragyn,Capitalizt,Superb,Frightening,Good
