Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=ral_ixshida,The Ral System Capital World of Ral Ixshida,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=ratateague,The SLUthing of Ratateague,Left-wing Utopia,Superb,Frightening,Superb
nation=tzo,The Just of Tzo,Left-wing Utopia,Superb,Fair,Excessive
nation=genesis_fifteen,The Socialist Federation of Genesis Fifteen,Left-wing Utopia,Frightening,Frightening,Superb
nation=pax_aurea,The Federal Commonwealth of Pax Aurea,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=polinikia,The Commonwealth of Polinikia,Democratic Socialists,Some,Imploded,Below Average
nation=st_stephen_n_critters,The Community of St Stephen n Critters,Left-wing Utopia,World Benchmark,Developing,Superb
nation=outter_micronesia,The Gentle Peoples of Outter Micronesia,Left-Leaning College State,Superb,Imploded,Excellent
nation=scottrick,The Doohanity of Scottrick,Civil Rights Lovefest,Frightening,Frightening,Widely Abused
nation=marimite,The Bara Loving Free Land of Marimite,New York Times Democracy,Good,Reasonable,Excellent
nation=aigania,The Federal Republic of Aigania,Left-Leaning College State,Superb,Frightening,Excellent
nation=thalasse,The PS2 Puppet of Thalasse,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=winklebottom,The Federal Republic of Winklebottom,Liberal Democratic Socialists,Excellent,Frightening,World Benchmark
nation=fallen_apples,The Republic of Fallen Apples,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=kilobugya,The Socialist Republic of Kilobugya,Left-wing Utopia,Superb,Strong,Superb
nation=the_clockwork_republic,The Technocracy of The Clockwork Republic,Democratic Socialists,Excellent,Frightening,Excellent
nation=yannia,The Nudist States of Yannia,Left-wing Utopia,Excessive,Frightening,Superb
nation=yaorozu,The Rising Sun's Land of Yaorozu,Authoritarian Democracy,Few,Frightening,Below Average
nation=papajacky,The Dominion of PapaJacky,Democratic Socialists,Excellent,Frightening,Very Good
nation=rugelia,The Empire of Rugelia,Democratic Socialists,Excellent,Powerhouse,Very Good
nation=lady_rose,The Fiefdom of Lady Rose,Civil Rights Lovefest,Superb,Frightening,Superb
nation=thx1138,The Medicine Cabinet of THX1138,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=kindjal,The Queendom of Kindjal,Left-wing Utopia,Excellent,Weak,Superb
nation=emailistan,The United Socialist States of Emailistan,Left-wing Utopia,Excellent,Frightening,Excellent
nation=aethelia,The Bardic Lorekeepers of Aethelia,Left-wing Utopia,Superb,Frightening,Superb
nation=zavea,The Federation of Zavea,Democratic Socialists,Good,Frightening,Below Average
nation=mograpelandia,The Idyllic Paradise of Mograpelandia,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=united_nations_of_earth_federation,The United Allied States of United Nations of Earth Federation,Left-wing Utopia,Superb,Frightening,Superb
nation=eloren,The Wilderness of Eloren,Left-wing Utopia,Superb,Frightening,World Benchmark
nation=applejacky,The Agricultural Paradise of AppleJacky,Democratic Socialists,Excellent,Frightening,Excellent
nation=wolfhawk,The Forest Realm of Wolfhawk,Liberal Democratic Socialists,Very Good,Fair,Superb
nation=blogotopia,The Anarchy of Blogotopia,Left-Leaning College State,Superb,Frightening,Very Good
nation=respublica_veneta,The Modern Consulship of Respublica Veneta,Left-wing Utopia,Superb,Frightening,Superb
nation=kiasu-ism,The Republic of Kiasu-ism,Inoffensive Centrist Democracy,Average,Frightening,Very Good
nation=voxum_mortalum,The Order of Voxum Mortalum,Civil Rights Lovefest,Superb,Frightening,Superb
nation=arqhua,The Artificial Intelligence of Arqhua,Left-wing Utopia,Superb,Frightening,Superb
