Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=please_walk_forward,The Big Muddy of Please Walk Forward,Tyranny by Majority,Few,Developing,Corrupted
nation=surprise,The Element of Surprise,Anarchy,Frightening,Strong,Corrupted
nation=hassett,The Galactic Paradise of Hassett,Civil Rights Lovefest,Frightening,Frightening,Corrupted
nation=madame_vastra,The Victorian Silurian World of Madame Vastra,Anarchy,Frightening,Strong,Corrupted
nation=dread_nanny_roberts,The Guild of Noble Nannies of Dread Nanny Roberts,Anarchy,Frightening,Strong,Corrupted
nation=on_beyond_zebra,The Floob-Boober-Bab-Boober-Bubs of On Beyond Zebra,Anarchy,Frightening,Frightening,Corrupted
nation=the_pink_dalek,The Little Queendom of The Pink Dalek,Civil Rights Lovefest,Frightening,Good,Corrupted
nation=a_carousel_pony,The Kaleidoscope World of A Carousel Pony,Anarchy,Frightening,Strong,Corrupted
nation=alice_parker,The Thievery of Alice Parker,Anarchy,Frightening,Strong,Corrupted
nation=zog_nit_keynmol,The Free Land of Zog Nit Keynmol,Corporate Bordello,Good,Strong,Corrupted
nation=neptune,The Republic of Neptune,Anarchy,Frightening,Strong,Corrupted
nation=a-666,The Queen's State of A-666,Anarchy,Frightening,Thriving,Corrupted
nation=atafu,The Queen's State of Atafu,Anarchy,Frightening,Very Strong,Corrupted
nation=emily_strange,The Most Strange Republic of Emily Strange,Anarchy,Frightening,Strong,Corrupted
nation=ville_managua,The Queen's State of Ville Managua,Anarchy,Superb,Very Strong,Corrupted
nation=malgetaec,The Queen's State of Malgetaec,Anarchy,Frightening,Very Strong,Corrupted
nation=ie,The Queen's State of IE,Anarchy,Frightening,Very Strong,Corrupted
nation=salmon_naason,The Queen's State of Salmon Naason,Anarchy,Frightening,Thriving,Corrupted
nation=ji,The Queen's State of JI,Anarchy,Frightening,Very Strong,Corrupted
nation=wg,The Queen's State of WG,Anarchy,Frightening,Powerhouse,Corrupted
nation=laos_state,The State of Laos State,Anarchy,Frightening,Very Strong,Corrupted
nation=polar-bear,The Snow-Covered Land of Polar-bear,Anarchy,Superb,Strong,Corrupted
nation=mauritius_village,The Queen's State of Mauritius Village,Civil Rights Lovefest,Frightening,Very Strong,Corrupted
nation=the_dead_islands,The Free Land of The Dead Islands,Anarchy,Frightening,Strong,Corrupted
nation=gd,The Queen's State of GD,Anarchy,Frightening,Very Strong,Corrupted
nation=omak,The Queen's State of Omak,Anarchy,Frightening,Very Strong,Corrupted
nation=24_hour,The Queen's State of 24 Hour,Anarchy,Frightening,Very Strong,Corrupted
nation=kyrkhemgard,The Queen's State of Kyrkhemgard,Anarchy,Excessive,Very Strong,Corrupted
nation=agur,The Queen's State of Agur,Anarchy,Frightening,Strong,Corrupted
nation=melchizedec,The Queen's State of Melchizedec,New York Times Democracy,Average,Strong,Corrupted
nation=isangle,The Queen's State of Isangle,Civil Rights Lovefest,Frightening,Strong,Corrupted
nation=brisebois,The Queen's State of Brisebois,Anarchy,Frightening,Thriving,Corrupted
nation=soufriere,The Queen's State of Soufriere,Anarchy,Frightening,Very Strong,Corrupted
nation=comorosi,The Queen's State of Comorosi,Anarchy,Superb,Very Strong,Corrupted
nation=turenne,The Holy Empire of Turenne,Anarchy,Frightening,Strong,Corrupted
nation=zv,The Queen's State of ZV,Anarchy,World Benchmark,Very Strong,Corrupted
nation=wh,The Queen's State of WH,Anarchy,Frightening,Powerhouse,Corrupted
nation=iman_ahmed_albadr,The Queen's State of Iman Ahmed alBadr,Anarchy,Frightening,Very Strong,Corrupted
nation=graveyards3,The Republic of Graveyards3,Anarchy,Frightening,Strong,Corrupted
nation=meadowpark,The Queen's State of Meadowpark,Anarchy,Frightening,Thriving,Corrupted
nation=desert_camel,The Republic of Desert Camel,Left-wing Utopia,Frightening,Imploded,Corrupted
nation=nevada,The Rogue Nation of Nevada,Anarchy,Frightening,Strong,Corrupted
nation=lady_marian,The Girlish Infatuation of Lady Marian,Anarchy,Frightening,Strong,Corrupted
nation=mw,The Queen's State of MW,Anarchy,Frightening,Very Strong,Corrupted
nation=ile_bourbon,The Queen's State of Ile Bourbon,Anarchy,Frightening,Strong,Corrupted
