Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=supreme_lord_kane,The KINGDOM of Supreme Lord KANE,Corrupt Dictatorship,Average,Frightening,Rare
nation=treadwellia,The Obesotocracy of Treadwellia,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=clarkstan,The Federal Republic of Clarkstan,Liberal Democratic Socialists,Some,Frightening,Superb
nation=the_dark_system,The Mafian Economic Extremist of The Dark System,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=atlantiariv,The Starskiesiver Civilization of ATLANTIARIV,Corrupt Dictatorship,Below Average,Frightening,Few
nation=afi-aftos,The Phantasm of Afi-Aftos,Moralistic Democracy,Some,Frightening,Below Average
nation=zamri1138,The Weirdo Empire of Zamri1138,Corrupt Dictatorship,Below Average,Frightening,Unheard Of
nation=vipermartian,The KINGDOM of VIPERMARTIAN,Democratic Socialists,Average,Frightening,Few
nation=last_choicia,The Anomaly of Last Choicia,Psychotic Dictatorship,Some,Frightening,Few
nation=kyldellian_mencorp,The Warzone States of Kyldellian Mencorp,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=kyldellian_zereack,The Warzone States of Kyldellian Zereack,Democratic Socialists,Excellent,Frightening,Excellent
nation=the_cud,The CUP Imperial Province of The CUD,Inoffensive Centrist Democracy,Excellent,Frightening,Some
nation=ishmiel,The Protectorate of Ishmiel,Inoffensive Centrist Democracy,Good,Frightening,Average
nation=gallifrey_trenzalore,The Retcon of Gallifrey Trenzalore,Father Knows Best State,Some,Frightening,Rare
nation=tzuland,The Military Dictatorship of Tzuland,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=pencil_sharpeners_2,The Panda of Pencil Sharpeners 2,Compulsory Consumerist State,Average,Frightening,Rare
nation=despoticania,The Despotic Dictatorship of Despoticania,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=kyldellian_gilge,The Warzone States of Kyldellian Gilge,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=i_always_choose_the_last_option,The Federal Republic of I Always Choose The Last Option,Psychotic Dictatorship,Unheard Of,Frightening,Rare
nation=the_dunwich_dominion,The Esoteric Armed Forces of The Dunwich Dominion,Left-Leaning College State,Superb,Frightening,Good
nation=namjyut,The Kingdom of Namjyut,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=warzone_master_man,The Republic of Warzone Master Man,Father Knows Best State,Some,Frightening,Rare
nation=sweedenland,The United Federation of SWEEDENLAND,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=finalanswer_archive,The Candlewhisper Archive Puppet of Finalanswer Archive,Father Knows Best State,Some,Frightening,Few
nation=bright_angel,The Sadistic Republic of Bright Angel,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=universal_state_formula,The Republic of Universal State Formula,Father Knows Best State,Below Average,Frightening,Outlawed
nation=the_stalker,The Mad King of Hell of The Stalker,Father Knows Best State,Below Average,Frightening,Few
nation=basementees,The Burman Kakistocracy of Basementees,Democratic Socialists,Very Good,Frightening,Average
nation=nationalist_german_empire,The Galactic Superpower of Nationalist German Empire,Iron Fist Consumerists,Few,Frightening,Rare
nation=gaberel,The Empire of Gaberel,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=wentsworth,The United Republic States of Wentsworth,Father Knows Best State,Below Average,Frightening,Rare
nation=kannap,The Android Sent by Cyberlife of Kannap,Inoffensive Centrist Democracy,Very Good,Frightening,Some
nation=varayusha,The People's Republic of Varayusha,Democratic Socialists,Some,Frightening,Average
nation=heliosphere,The PS2 Puppet of Heliosphere,Democratic Socialists,Some,Frightening,Good
nation=librality,The Democratic States of Librality,Inoffensive Centrist Democracy,Some,Frightening,Some
nation=teutionia,The Sovereign Covenant of Teutionia,Inoffensive Centrist Democracy,Very Good,Frightening,Few
nation=region_pan,The Republic of Region Pan,Father Knows Best State,Some,Frightening,Outlawed
