Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=aqualagoon,The PS2 Puppet of Aqualagoon,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=undivulged_principles,The Confederacy of Undivulged Principles,Left-wing Utopia,Superb,Frightening,Excessive
nation=enrichment,The Commonwealth of Enrichment,Democratic Socialists,Some,Frightening,Average
nation=mushir_khayr_ad-din_barbarossa,The Glorious Islamic Caliphates of Mushir Khayr ad-Din Barbarossa,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=greatest_chernobyl,The Republic of Greatest Chernobyl,Iron Fist Consumerists,Few,Powerhouse,Few
nation=ap0calypse,The Self-Proclaimed Empire of AP0CALYPSE,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=the_stalker,The Mad King of Hell of The Stalker,Father Knows Best State,Below Average,Frightening,Few
nation=sapnu_puas,The Vtuber shill of Sapnu puas,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=devoing,The Trout Fueled State of Devoing,Right-wing Utopia,Some,Very Strong,Some
nation=happiness-,The Holy Empire of Happiness-,Corporate Police State,Some,Frightening,Few
nation=domestic_corporate_america,The Commonwealth of Domestic Corporate America,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=maple_9,The Dazzling Swordplay of Maple 9,Iron Fist Consumerists,Few,Frightening,Outlawed
nation=easing,The Blue Holy Christmas Tree of Easing,Inoffensive Centrist Democracy,Good,Frightening,Average
nation=ganiax,The Empire of Ganiax,Father Knows Best State,Excellent,All-Consuming,Few
nation=miiros,The Consortium of Miiros,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=kircjani,The Matriarchy of Kircjani,Capitalist Paradise,Average,Frightening,Below Average
nation=demoness,The Dragon's Realm of Demoness,Anarchy,Frightening,Frightening,World Benchmark
nation=taxidea_taxus,The Rogue Nation of Taxidea Taxus,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=zarkoth,The Trout Wonderland of Zarkoth,Father Knows Best State,Below Average,Powerhouse,Few
nation=chatula,The Unrepenting Good Vibes of Chatula,Compulsory Consumerist State,Some,Frightening,Rare
nation=starman_deluxe,The Kings are Terrible at Hockey of Starman Deluxe,Corporate Police State,Rare,All-Consuming,Outlawed
nation=tweeklandia,The Rogue Nation of Tweeklandia,Corporate Police State,Rare,Frightening,Unheard Of
nation=sygma,The Catgirl Refuge of Sygma,Left-Leaning College State,Excellent,Frightening,Very Good
nation=pullenstein,The Empire of Pullenstein,Democratic Socialists,Good,Frightening,Some
nation=cardsourcia,The Fishy Card Museum of Cardsourcia,Inoffensive Centrist Democracy,Very Good,Powerhouse,Excellent
nation=kyloenija,The Imperial Regime of Kyloenija,Iron Fist Consumerists,Outlawed,Frightening,Rare
nation=imperial_terra_australis,The United Socialist Island of Imperial Terra Australis,Father Knows Best State,Below Average,Frightening,Unheard Of
nation=ayylmao69420,The The glorious Pigmarchy of Ayylmao69420,Iron Fist Consumerists,Some,Frightening,Few
nation=colonial_nation,The Colony of Colonial Nation,Civil Rights Lovefest,Superb,Strong,Superb
nation=taki_calxur,The Good child of Taki Calxur,Inoffensive Centrist Democracy,Some,Strong,Good
nation=fourian,The M States of Fourian,Corrupt Dictatorship,Some,Very Strong,Few
nation=clu,The Empire of CLU,Left-Leaning College State,Superb,Frightening,Excellent
nation=akaran_islands,The Kingdom of Akaran Islands,Father Knows Best State,Some,Frightening,Few
