Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=undivulged_principles,The Confederacy of Undivulged Principles,Left-wing Utopia,Superb,Frightening,Excessive
nation=thorvel,The Queendom of Thorvel,Conservative Democracy,Some,Frightening,Superb
nation=heliosphere,The PS2 Puppet of Heliosphere,Democratic Socialists,Some,Frightening,Good
nation=northern_borland,The Allied Corporate Empire of Northern Borland,Capitalizt,Superb,Frightening,Good
nation=daedra1a,The Modern Portfolio Theory of Daedra1a,Capitalist Paradise,Very Good,Frightening,Excellent
nation=hc_eredivisie,The Thirteen Zombie Hells of HC Eredivisie,Iron Fist Consumerists,Few,Frightening,Few
nation=treznor,The Empire of Treznor,Democratic Socialists,Good,Frightening,Very Good
nation=bright_angel,The Sadistic Republic of Bright Angel,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=szczuropolis,The Vermindom of Szczuropolis,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=kaiserestland,The Free Land of Kaiserestland,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=ewing_oil_co,The Barnes-Free Conglomerate of Ewing Oil Co,Corporate Police State,Few,Frightening,Few
nation=the_grendels,The Indomitable Borderlands of The Grendels,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=koffee,The Richly Blended Peoples of Koffee,Capitalist Paradise,Average,Frightening,Average
nation=clench,The Popsicle Pete Nation of Clench,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=the_iron_league,The Supreme Dictatorship of The Iron League,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=americad,The Unassuming Puppet State of Americad,Iron Fist Consumerists,Unheard Of,Frightening,Outlawed
nation=josephland,The Corporate Dictatorship of Josephland,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=isla_vista,The Godless Mercantile Nexus of Isla Vista,Compulsory Consumerist State,Average,Frightening,Few
nation=the_real_matrix,The Little Brotherhood of The Real Matrix,Iron Fist Consumerists,Rare,Frightening,Outlawed
nation=the_centauri,The Burlesque Republic of The Centauri,Compulsory Consumerist State,Very Good,Frightening,Few
nation=little_flowers,The Empire of Little Flowers,Capitalizt,Excellent,Frightening,Below Average
nation=chris_hall,The Free Land of Chris Hall,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=le_duche,The Grand Duchy Duchy Dutch of Le Duche,Compulsory Consumerist State,Some,Frightening,Unheard Of
nation=miiros,The Consortium of Miiros,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=israeli_airstrikes,The Oppressive Oppressors of Israeli Airstrikes,Corporate Police State,Unheard Of,Frightening,Outlawed
nation=aurora_islands,The Armed Corporations of Aurora Islands,Capitalist Paradise,Very Good,Frightening,Very Good
nation=coldheartedbastards,The Cold Hearted Bastardy of ColdHeartedBastards,Civil Rights Lovefest,Superb,Frightening,Superb
nation=the_dark_system,The Mafian Economic Extremist of The Dark System,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=east_borland,The Exalted Supremacy of East Borland,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=complete_bastards,The Dominion of Complete Bastards,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=despoticania,The Despotic Dictatorship of Despoticania,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=bistrostan,The Empire of Bistrostan,Inoffensive Centrist Democracy,Very Good,Frightening,Average
nation=midlands,The United States of Midlands,Anarchy,Superb,Frightening,Widely Abused
nation=wulfhelm,The Soul-Crushing Factories of Wulfhelm,Corporate Police State,Few,Frightening,Unheard Of
nation=tremalkier,The Insatiable Economic Hitmen of Tremalkier,Capitalizt,Excellent,Frightening,Average
nation=mackintosh,The Grotesque Playground of Mackintosh,Compulsory Consumerist State,Below Average,Frightening,Unheard Of
nation=abu_ammar,The Holiest Flavor of ABU AMMAR,Father Knows Best State,Some,Frightening,Unheard Of
nation=donkervader,The Slow Loud Breathers of Donkervader,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=the_big_bad_boo,The Cattery of The Big Bad Boo,Democratic Socialists,Very Good,Frightening,Very Good
nation=euraustralasamerica,The Post-Communist Kleptocracy of Euraustralasamerica,Corporate Police State,Outlawed,Frightening,Unheard Of
nation=the_zocalo,The Sexy Spacefaring Shogunate of The Zocalo,Capitalist Paradise,Good,Frightening,Average
nation=cthonian_wasteland,The Architeuthis Dux of Cthonian Wasteland,Inoffensive Centrist Democracy,Excellent,Frightening,Below Average
nation=muspellheim,The Brennanndi Ríki of Muspellheim,Corporate Police State,Rare,Frightening,Rare
nation=myrth,The NPO High Inquisitor of Myrth,Compulsory Consumerist State,Very Good,Frightening,Few
nation=greater_somalia,The United States of Greater Somalia,Liberal Democratic Socialists,Very Good,Frightening,Widely Abused
nation=miratejo,The Republic of Miratejo,Compulsory Consumerist State,Very Good,Frightening,Rare
nation=trixmonia,The Ironwill Dictatorship of Trixmonia,Father Knows Best State,Some,Frightening,Unheard Of
nation=moonlight_shadow,The Oasis of Moonlight Shadow,Anarchy,Superb,Frightening,Corrupted
nation=the_stalker,The Mad King of Hell of The Stalker,Father Knows Best State,Below Average,Frightening,Few
nation=nation_of_quebec,The Free Secular Federation of Nation of Quebec,Liberal Democratic Socialists,Excellent,Frightening,World Benchmark
nation=blue_embassy,The Hive City of Blue Embassy,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=gaberel,The Empire of Gaberel,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=klesh,The Holy Empire of Klesh,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=mercobia,The Socialist Alliance of Mercobia,Liberal Democratic Socialists,Excellent,Frightening,Excellent
nation=yeno,The Divine Right Empire of Yeno,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=the_knight_who_says_ni,The Allmighty Nak Nakian Colony of The knight who says NI,Compulsory Consumerist State,Good,Frightening,Rare
nation=lygonia,The Eternal Empire of Lygonia,Civil Rights Lovefest,Excellent,Frightening,Superb
nation=atlantiariv,The Starskiesiver Civilization of ATLANTIARIV,Corrupt Dictatorship,Below Average,Frightening,Few
nation=trouble_nation,The Dominion of Trouble Nation,Inoffensive Centrist Democracy,Good,Frightening,Very Good
nation=confederate_states_utopia,The Republic of Confederate states utopia,Father Knows Best State,Some,Frightening,Outlawed
nation=midshire,The Empire of Midshire,Civil Rights Lovefest,Frightening,Frightening,Excellent
nation=the_souless_damned,The Grim Wastelands of The Souless Damned,Father Knows Best State,Some,Frightening,Unheard Of
nation=eretzisrael,The Walled Cities of EretzIsrael,Capitalist Paradise,Excellent,Frightening,Very Good
nation=edgemaster,The Infection of Edgemaster,Compulsory Consumerist State,Very Good,Frightening,Few
nation=markreich,The Ostentatious Grand Duchy of Markreich,New York Times Democracy,Very Good,Frightening,Superb
nation=santa_is_satan,The Evil Empire of Santa Is Satan,Compulsory Consumerist State,Below Average,Frightening,Rare
nation=dorig,The Union of Dorig,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=seven_by_nine,The Dominion of Seven by Nine,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=geisler,The Confederacy of Geisler,Moralistic Democracy,Rare,Frightening,Some
nation=psypheria,The Liberated Cartel of Psypheria,Capitalizt,Excellent,Frightening,Good
nation=brotherhood_of_nod,The Dictatorship of Brotherhood of nod,Corporate Police State,Few,Frightening,Unheard Of
nation=techno,The Allmighty Nak Nakian Colony of Techno,Corporate Police State,Rare,Frightening,Unheard Of
nation=cutote,The People's Republic of Cutote,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=the_colonial_fleet,The Dysfunctional Viper Pilots of The Colonial Fleet,Capitalist Paradise,Very Good,Frightening,Some
nation=terrians,The Hell Hole of Terrians,Corporate Police State,Outlawed,Frightening,Outlawed
nation=macworld,The United Computer States of Macworld,Anarchy,Frightening,Frightening,Widely Abused
nation=landing_site_alpha,The Incorporated States of Landing Site Alpha,Left-wing Utopia,World Benchmark,Frightening,Widely Abused
nation=drawkland,The Interstellar Empire of Drawkland,Inoffensive Centrist Democracy,Average,Frightening,Excellent
nation=mdrunie,The Dictatorship of MDRunie,Inoffensive Centrist Democracy,Excellent,Frightening,Some
nation=inquista,The Most Blessed State of Inquista,Anarchy,World Benchmark,Frightening,World Benchmark
nation=istormia,The Possom Sanctuary of IStormia,Iron Fist Consumerists,Unheard Of,Frightening,Rare
nation=woonsocket,The Big Bull of Woonsocket,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=scanorama,The Federal Republic of Scanorama,Civil Rights Lovefest,Frightening,Frightening,World Benchmark
nation=gruenberg,The Goat-Enabled Plutocracy of Gruenberg,Compulsory Consumerist State,Below Average,Frightening,Few
nation=cayas,The Allied States of Cayas,Inoffensive Centrist Democracy,Very Good,Frightening,Excellent
nation=g-tech_corporation,The Landsraad Hegemony of G-Tech Corporation,Democratic Socialists,Some,Frightening,Below Average
nation=multiple_bounty,The Revisionist Republic of Multiple Bounty,Democratic Socialists,Very Good,Frightening,Very Good
nation=ameriganastan,The Dictatorship of Ameriganastan,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=gooutofhere,The Culture of Gooutofhere,Mother Knows Best State,Very Good,Frightening,Few
nation=goodnamesarerare,The People's Republic of Goodnamesarerare,Democratic Socialists,Very Good,Frightening,Below Average
nation=zurkerx,The Constitutional Empire of Zurkerx,Anarchy,Excessive,Frightening,Excellent
nation=miraclia,The Miraculous Miracle of Miraclia,Corporate Police State,Unheard Of,Frightening,Unheard Of
nation=the_police_state,The Federation of The police state,Iron Fist Consumerists,Few,Frightening,Rare
nation=so88er,The Incorporated States of So88er,Inoffensive Centrist Democracy,Excellent,Frightening,Good
nation=the_alicorns,The Celestial Imperium of The Alicorns,Civil Rights Lovefest,World Benchmark,Frightening,Excellent
nation=dragyn,The Iron Mall of Dragyn,Capitalizt,Superb,Frightening,Good
nation=woollevia,The Academic Dominion of Woollevia,Iron Fist Consumerists,Outlawed,Frightening,Outlawed
nation=slaytania,The Union of Soviet States of Slaytania,Psychotic Dictatorship,Few,Frightening,Rare
nation=rhanukhan,The Unified Provinces of Rhanukhan,Liberal Democratic Socialists,Very Good,Frightening,World Benchmark
