Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=infinite_coscotlan,The Endless Atzoatlaxixcalnican of Infinite Coscotlan,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=deamonopolis,The Territory of Deamonopolis,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=menta_lee-il,The Letterman Commie Paradise of Menta Lee-IL,Iron Fist Consumerists,Outlawed,Strong,Unheard Of
nation=gynostan,The Womyn's Paradise of Gynostan,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=xynlandia,The PS2 Puppet of Xynlandia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=papabellum,The Matriarchy of PapaBellum,Psychotic Dictatorship,Few,Frightening,Outlawed
nation=annihitor_the_incred,The Abominable Dreadstomp of Annihitor the Incred,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=tiparu,The Matriarchal Empire of Tiparu,Iron Fist Consumerists,Some,Frightening,Rare
nation=rommanda,The Holy Empire of Rommanda,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=honorias,The States and Dominions of Honorias,Iron Fist Consumerists,Unheard Of,Frightening,Outlawed
nation=virgolia,The Virgolia of Virgolia,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=the_almighty_lenny,The Prophecy of The Almighty Lenny,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=dra-pol,The Kurosite People's Republic of Dra-pol,Psychotic Dictatorship,Unheard Of,All-Consuming,Unheard Of
nation=lyras,The Protectorate of Lyras,Iron Fist Consumerists,Unheard Of,Frightening,Unheard Of
nation=krich_aerd,The Dominatioun of Krich Aerd,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=siegefire,The Totalitarian Hellhole of Siegefire,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=thibor_ferenczy,The Verboten of Thibor Ferenczy,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=drogmar,The Oppressed Peoples of Drogmar,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=celtician,The Armed Republic of Celtician,Psychotic Dictatorship,Rare,Frightening,Outlawed
nation=versail,The Grand Republic of Versail,Father Knows Best State,Average,Frightening,Outlawed
nation=merconitonitopia,The Magic and the Mystery of Merconitonitopia,Authoritarian Democracy,Unheard Of,Frightening,Very Good
nation=tubularia,The Peaceful Free Republic of Tubularia,Psychotic Dictatorship,Unheard Of,Frightening,Outlawed
nation=week_nashun,The Kindness Republic of Week Nashun,Iron Fist Consumerists,Outlawed,Frightening,Unheard Of
nation=the_twelfth_world_problem,The Dictatorship of The twelfth world problem,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=space_ork_horde,The Nomadic Peoples of Space Ork Horde,Iron Fist Consumerists,Unheard Of,Frightening,Outlawed
nation=east_green_israel,The Holy Disputed Lands of East green Israel,Psychotic Dictatorship,Outlawed,Frightening,Unheard Of
nation=apostolites,The Holy Empire of Apostolites,Psychotic Dictatorship,Outlawed,Frightening,Outlawed
nation=tzuland,The Military Dictatorship of Tzuland,Psychotic Dictatorship,Unheard Of,Frightening,Unheard Of
nation=hc_eredivisie,The Thirteen Zombie Hells of HC Eredivisie,Iron Fist Consumerists,Few,Frightening,Few
