Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=brocklandia,The Smash Hit Movie Version of Brocklandia,Anarchy,Frightening,Frightening,Corrupted
nation=pencil_sharpeners,The PS2 Puppet of Pencil Sharpeners,Anarchy,Frightening,Imploded,Corrupted
nation=tsaivao,The Decentralized Authority of Tsaivao,Anarchy,Frightening,Thriving,Corrupted
nation=second_best_misc_storage_8,The Very Slow APNG of Second Best Misc Storage 8,Capitalizt,Frightening,Frightening,Excellent
nation=second_best_misc_storage_6,The Second Best Patriots of Second Best Misc Storage 6,Anarchy,Frightening,Strong,Widely Abused
nation=s2_rares_collector,The Rare Sight of S2 Rares Collector,Anarchy,Frightening,Strong,Corrupted
nation=eluaii,The Tropical Annexed Future NPC of Eluaii,Anarchy,Excessive,All-Consuming,Corrupted
nation=quazzletheqaz,The Big Nudity Energy of QuazzleTheQaz,Capitalizt,Excessive,Frightening,Few
nation=dangerous_liaisons,The Cruel Intentions of Dangerous Liaisons,Anarchy,Excessive,All-Consuming,Excessive
nation=pookyvania,The Machine of Pookyvania,Civil Rights Lovefest,Excessive,Frightening,Widely Abused
nation=supero_omnia,The Corporate Conglomerate of Supero Omnia,Anarchy,Excessive,Frightening,Widely Abused
nation=al-amanah,The Holy Empire of Al-Amanah,Civil Rights Lovefest,Excessive,Frightening,World Benchmark
nation=farnsworths_planet_express,The Protectorate of Farnsworths Planet Express,Civil Rights Lovefest,Excessive,All-Consuming,Superb
nation=brexas4,The Zombie Free Republic of Brexas4,Anarchy,World Benchmark,Frightening,Corrupted
nation=republica_de_sasha,The Island of Republica de Sasha,Left-wing Utopia,World Benchmark,Frightening,Corrupted
nation=tyster,The Free Land of Tyster,Anarchy,World Benchmark,Frightening,Excessive
nation=the_british_islands_confederacy,The Free Land of The British Islands Confederacy,Anarchy,World Benchmark,Very Strong,World Benchmark
nation=quinceria,The Anarcho-Capitalist Lands of Quinceria,Capitalizt,World Benchmark,Frightening,Excellent
nation=partoria,The Republic of Partoria,Left-Leaning College State,World Benchmark,Frightening,Average
