Unique URL,Nation Name,WA Category,Civil Rights,Economy,Political Freedom
nation=kaigi,The Kingdom of Kaigi,Corrupt Dictatorship,Very Good,Frightening,Few
nation=tierra_del_queso,The Commonwealth of Tierra del Queso,Left-wing Utopia,World Benchmark,Frightening,Superb
nation=tzo,The Just of Tzo,Left-wing Utopia,Superb,Fair,Excessive
nation=span,The United Socialist States of Span,Civil Rights Lovefest,Excessive,Thriving,Superb
nation=kyupaa,The Republic of Kyupaa,Democratic Socialists,Very Good,Imploded,Very Good
nation=wolfhawk,The Forest Realm of Wolfhawk,Liberal Democratic Socialists,Very Good,Fair,Superb
nation=corsaria,The Empire of Corsaria,Corrupt Dictatorship,Average,Powerhouse,Unheard Of
nation=united_phoenicia,The Free Land of United Phoenicia,Inoffensive Centrist Democracy,Very Good,Frightening,Some
nation=omegadrax,The Dystopic World Nation of Omegadrax,Civil Rights Lovefest,Excessive,Frightening,Excessive
nation=timao,The Fielzão of Timao,New York Times Democracy,Excellent,Strong,Superb
nation=luna_amore,The N-Space Compression of Luna Amore,Benevolent Dictatorship,Frightening,Frightening,Rare
nation=ummagumma,The Nihilist Hippy Commune of Ummagumma,Left-wing Utopia,Superb,Frightening,Superb
nation=mograpelandia,The Idyllic Paradise of Mograpelandia,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=kindjal,The Queendom of Kindjal,Left-wing Utopia,Excellent,Weak,Superb
nation=pax_aurea,The Federal Commonwealth of Pax Aurea,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=gracieland,The Free Association of Gracieland,Scandinavian Liberal Paradise,Superb,Imploded,Good
nation=zombiedolphins,The Republic of Zombiedolphins,Civil Rights Lovefest,Superb,Frightening,Superb
nation=fortune1,The Nak Nakian WA Embassy of Fortune1,Civil Rights Lovefest,Superb,Reasonable,Excellent
nation=free_socialism,The Culture of Free Socialism,Left-wing Utopia,World Benchmark,Frightening,Excessive
nation=dialland,The Republic of Dialland,Democratic Socialists,Very Good,Frightening,Very Good
nation=liberal_liberals,The CUP-Eladeni Isocracy of Liberal Liberals,Left-wing Utopia,World Benchmark,Fragile,Superb
nation=holy_dolphins,The Cuteness of Holy Dolphins,Democratic Socialists,Some,Imploded,Excellent
nation=safj,The Serene Compassionate Utopia of Safj,Civil Rights Lovefest,World Benchmark,Frightening,Superb
nation=gaiah,The Democratie reelle of Gaiah,Left-Leaning College State,Superb,Imploded,Very Good
nation=chedonia,The Democratic Republic of Chedonia,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=st_stephen_n_critters,The Community of St Stephen n Critters,Left-wing Utopia,World Benchmark,Developing,Superb
nation=ral_ixshida,The Ral System Capital World of Ral Ixshida,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=wilkshire,The Republic of Wilkshire,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=eljefe,The Heavily-Legged Strongmen of ElJefe,Inoffensive Centrist Democracy,Excellent,Thriving,Below Average
nation=g_c_bakura,The Shining Islands of G C Bakura,Scandinavian Liberal Paradise,Excellent,Frightening,Good
nation=kerla,The Socialist Union of Kerla,Left-wing Utopia,Excellent,Frightening,Superb
nation=cyrenean,The Island of Cyrenean,Civil Rights Lovefest,World Benchmark,Frightening,World Benchmark
nation=zerophix,The Hippy State of Zerophix,Scandinavian Liberal Paradise,World Benchmark,Imploded,Excellent
nation=independent_planets,The Concordium of Independent Planets,Democratic Socialists,Very Good,Frightening,Good
nation=ratateague,The SLUthing of Ratateague,Left-wing Utopia,Superb,Frightening,Superb
nation=woolitania,The Glorious Empire of Woolitania,New York Times Democracy,Very Good,Frightening,Superb
nation=arqhua,The Artificial Intelligence of Arqhua,Left-wing Utopia,Superb,Frightening,Superb
nation=elejamie,The Unified Tracts of Elejamie,Civil Rights Lovefest,Excessive,Frightening,Superb
nation=lancaster_of_wessex,The Most Ancient and Noble House of Lancaster of Wessex,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=erastide,The Banana Bread Provider of Erastide,Democratic Socialists,Average,Reasonable,Very Good
nation=voxum_mortalum,The Order of Voxum Mortalum,Civil Rights Lovefest,Superb,Frightening,Superb
nation=mexican_liberation,The Grand Imperium of Divinity of Mexican Liberation,Left-wing Utopia,Frightening,Frightening,Widely Abused
nation=misplaced_states,The Obscurely Profound Confusion of Misplaced States,Democratic Socialists,Average,Imploded,Excellent
nation=corsetopia,The Democratic States of Corsetopia,Corrupt Dictatorship,Very Good,Frightening,Unheard Of
nation=senshu,The Republic of Senshu,Left-wing Utopia,Superb,Very Strong,Superb
nation=demoness,The Dragon's Realm of Demoness,Anarchy,Frightening,Frightening,World Benchmark
nation=vancovaria,The Federal Democratic Republic of Vancovaria,Left-wing Utopia,Excessive,Frightening,Superb
nation=benjamin_mark,The Second Commonwealth of Benjamin Mark,Inoffensive Centrist Democracy,Very Good,Frightening,Very Good
nation=lady_rose,The Fiefdom of Lady Rose,Civil Rights Lovefest,Superb,Frightening,Superb
nation=calavis,The DoGooder Intentions of Calavis,Democratic Socialists,Below Average,Frightening,Some
nation=kershya,The Constitutional Monarchy of Kershya,Scandinavian Liberal Paradise,Excellent,Frightening,Very Good
nation=smiley_bob,The Zombie Emoticons of Smiley Bob,Left-wing Utopia,Superb,Frightening,Superb
nation=orenia,The Rogue State of Orenia,Civil Rights Lovefest,Excessive,Frightening,Superb
nation=half-milers,The Classy Realm of Half-Milers,Civil Rights Lovefest,Frightening,Frightening,Widely Abused
nation=smugglers_and_mercs,The Alliance of Smugglers and Mercs,Scandinavian Liberal Paradise,Superb,Frightening,Very Good
nation=yannia,The Nudist States of Yannia,Left-wing Utopia,Excessive,Frightening,Superb
nation=ninjitsutopia,The Revolutionary Federation of NinjitsUtopia,Scandinavian Liberal Paradise,Excellent,Frightening,Excellent
nation=moftan,The Equal Opportunity Nation of Moftan,Democratic Socialists,Average,Weak,Excellent
nation=barnavia,The Grand Duchy of Barnavia,Left-wing Utopia,Superb,Frightening,World Benchmark
nation=kiasu-ism,The Republic of Kiasu-ism,Inoffensive Centrist Democracy,Average,Frightening,Very Good
nation=arithei,The Imperial Dominion of Arithei,Civil Rights Lovefest,Superb,Frightening,World Benchmark
nation=the_floodcity,The Pirates of The Floodcity,Inoffensive Centrist Democracy,Very Good,Frightening,Some
nation=sirian,The Democratic Socialist States of Sirian,Left-Leaning College State,Superb,Frightening,Good
nation=saltanyas,The Republic of Saltanyas,Left-wing Utopia,Frightening,Frightening,Corrupted
nation=neldessica,The Republic of Neldessica,Democratic Socialists,Below Average,Fragile,Good
nation=natopia,The Restored Empire of Natopia,Left-Leaning College State,Superb,Frightening,Good
nation=sankh-lanport,The Free and Independent State of Sankh-Lanport,Left-Leaning College State,Excellent,Frightening,Good
nation=arthymia,The Draconic Lands of Arthymia,Left-Leaning College State,Superb,Frightening,Below Average
nation=thalasse,The PS2 Puppet of Thalasse,Liberal Democratic Socialists,Very Good,Frightening,Excellent
nation=worldia555,The Republic of Worldia555,Democratic Socialists,Excellent,Frightening,Very Good
nation=genesis_fifteen,The Socialist Federation of Genesis Fifteen,Left-wing Utopia,Frightening,Frightening,Superb
nation=teritora,The Ancient Kingdom of Teritora,Corrupt Dictatorship,Some,Frightening,Few
nation=chemung,The Christmas Zombie Horde of Chemung,Liberal Democratic Socialists,Very Good,Frightening,Superb
nation=artoonia,The Artoonian Empire of Artoonia,Anarchy,Excessive,Frightening,Widely Abused
nation=iguanarctica,The PS2 Puppet of Iguanarctica,New York Times Democracy,Very Good,Frightening,Superb
nation=maulm,The Empire of Maulm,New York Times Democracy,Very Good,Frightening,Excessive
nation=trotterdam,The Principality of Trotterdam,Left-Leaning College State,Superb,Frightening,Excellent
nation=disco_empire,The Dominion of Disco Empire,Democratic Socialists,Excellent,Frightening,Excellent
nation=iechyd_da,The Socialist Republic of Iechyd Da,Democratic Socialists,Excellent,Frightening,Excellent
nation=bowker,The Secret Society of Bowker,Democratic Socialists,Some,Very Strong,Average
nation=sunset,The Republic of Sunset,Civil Rights Lovefest,Superb,Frightening,Superb
nation=unchagah,The Parliamentary Commonwealth of Unchagah,Inoffensive Centrist Democracy,Excellent,All-Consuming,Excellent
nation=cannabis,The Wonderful World of Cannabis,Democratic Socialists,Very Good,Frightening,Very Good
nation=cherry_cola,The Free Community of Cherry Cola,Civil Rights Lovefest,Superb,Frightening,Superb
nation=this_was_probably_a_bad_idea,The Republic of This was probably a bad idea,Left-wing Utopia,Excellent,Frightening,World Benchmark
nation=the_sinistress,The Glorious Imperium of The Sinistress,Libertarian Police State,Superb,Frightening,Few
nation=divine_cervine,The Benevolent Queendom of Divine Cervine,Democratic Socialists,Below Average,Frightening,Good
nation=reploid_productions,The Immortal Shogunate and Affiliated Territories of Reploid Productions,Democratic Socialists,Very Good,Frightening,Good
nation=dessambra,The Queendom of DeSsambra,Corrupt Dictatorship,Good,Imploded,Few
nation=aratlibia,The Federation of Aratlibia,Left-Leaning College State,Superb,Very Strong,Excellent
nation=the_blaatschapen,"The Lamb pate with toast, lamb kebab with satay sauce, stuffed leg of lamb with rosemary and pine nuts, lamb shank hotpot pie with pickled red cabbage, aromatic lamb casserole with prunes, fruity lamb tagine of The Blaatschapen",Anarchy,Superb,Developing,World Benchmark
nation=dioxin,The Plains of Dioxin,Left-Leaning College State,Excellent,Frightening,Below Average
nation=winklebottom,The Federal Republic of Winklebottom,Liberal Democratic Socialists,Excellent,Frightening,World Benchmark
nation=andaricus,The Constitutional Republic of Andaricus,Anarchy,Frightening,Frightening,Excessive
nation=truechristianity,The Harmonious Political Haven of TrueChristianity,Tyranny by Majority,Few,Imploded,World Benchmark
nation=corcaw,The Republic of Corcaw,Liberal Democratic Socialists,Very Good,Frightening,Superb
nation=bears_armed,The Free Bears of Bears Armed,Civil Rights Lovefest,Superb,Frightening,Excessive
nation=mindalia,The Pristine Redoubt of Mindalia,New York Times Democracy,Excellent,Frightening,Superb
nation=ekamatra,The Democratic Party of Ekamatra,Psychotic Dictatorship,Rare,Frightening,Few
nation=jon4de,The United States of Jon4de,Capitalist Paradise,Below Average,Frightening,Average
nation=culture_of_life,The Christian Democratic Nation of Culture of Life,Liberal Democratic Socialists,Average,Frightening,Superb
nation=rolass,The World State Empire of ROLASS,Psychotic Dictatorship,Few,Frightening,Unheard Of
nation=marimite,The Bara Loving Free Land of Marimite,New York Times Democracy,Good,Reasonable,Excellent
nation=avaerilon,The Magnificent Kingdom of Avaerilon,Civil Rights Lovefest,Excessive,Frightening,Widely Abused
nation=haven_of_liberty,The Union of Haven of liberty,Left-wing Utopia,Superb,Frightening,Excessive
nation=countriopia,The Democratic Republic of Countriopia,Liberal Democratic Socialists,Very Good,Frightening,Superb
nation=outter_micronesia,The Gentle Peoples of Outter Micronesia,Left-Leaning College State,Superb,Imploded,Excellent
nation=byzantine_secundus,The Hidden Nation of Byzantine Secundus,Civil Rights Lovefest,Superb,Frightening,Excessive
nation=kilobugya,The Socialist Republic of Kilobugya,Left-wing Utopia,Superb,Strong,Superb
nation=hanaukyo,The Sakura Empire of Hanaukyo,Civil Rights Lovefest,Superb,Imploded,Superb
nation=holy_oranz,The Ecclesiocracy of Holy Oranz,Left-wing Utopia,Frightening,Frightening,Superb
nation=lakanaba,The Council Chambers of Lakanaba,Left-Leaning College State,Superb,Frightening,Good
nation=kauru_taurus,The Juraihelm-allied El Hazard of Kauru Taurus,Corrupt Dictatorship,Below Average,Developing,Few
nation=evilcia,The Zombie Prolife Kingdom of Evilcia,Left-wing Utopia,Superb,Frightening,Superb
nation=yaorozu,The Rising Sun's Land of Yaorozu,Authoritarian Democracy,Few,Frightening,Below Average
nation=that_guy_with_a_tail,The Disputed Territories of That guy with a tail,Civil Rights Lovefest,Superb,Frightening,World Benchmark
nation=fauzjhia,The Communist Easter Egg Kingdom of Fauzjhia,Left-wing Utopia,Superb,Frightening,Superb
nation=monterey_bay_aquarium,The Environmentalists of Monterey Bay Aquarium,Inoffensive Centrist Democracy,Good,Frightening,Good
nation=free_jedi_knights,The Council of Free Jedi Knights,Left-Leaning College State,Superb,Frightening,Very Good
nation=havl,The Nation State of Havl,Left-wing Utopia,Superb,Fair,Superb
nation=zachtia,The Human-Pony Alliance of Zachtia,Left-wing Utopia,Excellent,Frightening,Superb
nation=eastfield_lodge,The Imperial Commonwealth of Eastfield Lodge,Democratic Socialists,Average,Frightening,Good
nation=alamein,The Empire and Commonwealth of Alamein,Civil Rights Lovefest,Superb,Frightening,Excellent
nation=fallen_apples,The Republic of Fallen Apples,Liberal Democratic Socialists,Excellent,Frightening,Superb
nation=united_provinces_of_atlantica,The Most Serene Jarldom of United Provinces of Atlantica,Left-wing Utopia,Superb,Frightening,Superb
nation=jolteonia,The Principality of Jolteonia,Liberal Democratic Socialists,Excellent,Frightening,World Benchmark
nation=outer_sparta,The Kingdom of Outer Sparta,Liberal Democratic Socialists,Excellent,Frightening,Excellent
nation=new_rogernomics,The Kingdom of New Rogernomics,Civil Rights Lovefest,Superb,Frightening,Superb
nation=minahasa,The Confederated Communes of Minahasa,Left-wing Utopia,Excessive,Frightening,World Benchmark
nation=katganistan,"The Allegedly Furry, Brony, Homosexual, Straight, Feminist, Crypto-Marxist, Crypto-Fascist, Baby-Eating, Anarcho-Capitalist, Libertarian-Boomer, Supposedly Inconsistent, Stylishly Evil, What the Heck Is Wrong with Her Title Empire of Katganistan",Inoffensive Centrist Democracy,Excellent,Imploded,Good
nation=damanucus,The Nomadic Peoples of Damanucus,Democratic Socialists,Very Good,Frightening,Excellent
nation=small_fish,The Incorporated States of Small Fish,Civil Rights Lovefest,World Benchmark,Powerhouse,World Benchmark
nation=13_court_gaurd_squads,The Allied Imperium of 13 Court Gaurd Squads,Inoffensive Centrist Democracy,Excellent,Frightening,Very Good
nation=gettysburg11,The Nerddom of Gettysburg11,Left-wing Utopia,Excessive,Frightening,World Benchmark
nation=stragalestranspets,The Empire of Stragalestranspets,Scandinavian Liberal Paradise,Superb,Frightening,Excellent
nation=tacenda,The Nomadic Peoples of Tacenda,Left-Leaning College State,Excellent,Frightening,Very Good
nation=oneiro,The Largely Ungoverned Territory of Oneiro,Liberal Democratic Socialists,Very Good,Frightening,World Benchmark
nation=auravel,The Realm of Auravel,Left-wing Utopia,Excellent,Frightening,Superb
nation=discgolfland,The Smokin Green Land of DiscGolfLand,Left-wing Utopia,World Benchmark,Frightening,Superb
nation=ten_empires,The Alliance of Ten Empires,Democratic Socialists,Excellent,Frightening,Excellent
